"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","confidenceLocality","selectionCategory","species.new","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","tax.check"
"user",,,,,,,,"ESA","ESA",,,,,,"ESA023518","8736","Souza, V.C.",,,,,,,,,,,,"1995","18","08",,,,,,,,"São Paulo",,"Itapeva","Estação Ecológica de Itapeva. Transição campo-cerrado.",,,,"0","0",,,,,,,,,,,"não","Sem determinador",,,,,"Poaceae",,,,,,,,,,,,"Poaceae",,,,,,,,,,,"family",,,,,,,,,,,"POACEAE ",,,,,,,"Brasil",,,,,,,,,,"Reflora",,,,,,,,,,,,,,,,"ESA",,,,"Souza, J.P.,Farah, F.T.,Sakuragui, C.M.,Scalon, V.R.,Wongtschowski, M.,Sanches, C.D.","08/18/1995",,,"METRO",,,,,"ESA",,"Souza, V.C.","8736","1995","Determinador, S.",,,"Souza",,"TRUE","-24.077226","-49.075679","coord_gazet","seconds","ok_same_resolution","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",212168,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","high"
"user",,,,,,,,"ESA","ESA",,,,,,"ESA038607","281","Elias, S.I.",,,,,,,,,,,,"1997","17","12",,,,,,,,"São Paulo",,"Itapeva","Estação ecológica de Itapeva. Cerrado",,,,"-24043","-490416",,,,,,,,,,,"não","Sem determinador",,,,,"polymorpha",,,,,,,,,,,,"Asteraceae",,,,"Gochnatia",,,,,,,"species",,,,,,,,,"polymorpha",,"ASTERACEAE ",,,,,,,"Brasil",,,,,,,"24043º 0' 0"""" S","490416º 0' 0"""" W",,"Reflora",,,,,,,,,,,,,,,,"ESA",,,,"Souza, J.P.,Ivanauskas, N.M.,Rodrigues, R.R.,Souza, V.C.,Tamashiro, J.Y.,Silva, M.M.R.,Freitas, F.O.,Amador, D.B.,Vanini, A.","12/17/1997",,,"METRO",,,,,"ESA",,"Elias, S.I.","281","1997","Determinador, S.",,,"Elias",,"FALSE","-24.077226","-49.075679","coord_gazet","seconds","ok_same_resolution","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae",212169,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","high"
"gbif","5.3808883310523e-315",,"2023-03-09 11:41:38",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/167218","167218","2280","Baitello, JB; Lima, CR",,,,,"PRESENT",,,,,,"2009-01-29","2009","1","29",,,,,,,"BR","São Paulo",,"Itapeva","Estação Ecológica. Borda da lavoura da Agrovila.",,,,"-24.078889","-49.08",,,,,,,,,,,,"Marcondes-Ferreira, W",,"2013-10-01",,,"Solanaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,,,,,,,,"family",,"ACCEPTED",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,"TRUE","FALSE",,"Solanaceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC091597","Brazil","700","700",,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Baitello, J.B.","2280","2009","Marcondes-Ferreira, W.","2013","Lima, C.R.","Baitello",,"TRUE","-24.078889","-49.08","coord_original","seconds","ok_same_resolution","Solanaceae","A.Juss.","family_as_genus","Solanaceae","Solanaceae","A.Juss.","family","name accepted","bfo-225",,,"Solanaceae A.Juss.",,"Solanaceae",212170,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","low"
"speciesLink",,,"2025-04-07T11:04:52",,,"2",,"UNICAMP","UEC",,"S",,,,"167218","2280","Baitello, JB; Lima, CR",,,,,,,,,,,,"2009","01","29",,,,,,,,"São Paulo","Itapeva","Itapeva","Estação Ecológica. Borda da lavoura da Agrovila.",,,,"-24.078889","-49.08",,,,,,,,,,,,"Marcondes-Ferreira, W",,"2013-10-NA",,,"Solanaceae",,,,,,,"Plantae","Magnoliopsida",,,,"Solanaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brazil","700","700",,,,,"-24.078889","-49.08",,"Splink",,,,"10",,"2013",,,,"UEC091597",,,,,,,,,,,,,,,,,,,"UEC",,"Baitello, J.B.","2280","2009","Marcondes-Ferreira, W.","2013","Lima, C.R.","Baitello",,"TRUE","-24.078889","-49.08","coord_original","seconds","ok_same_resolution","Solanaceae","A.Juss.","family_as_genus","Solanaceae","Solanaceae","A.Juss.","family","name accepted","bfo-225",,,"Solanaceae A.Juss.",,"Solanaceae",212171,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","low"
"speciesLink",,,"2025-04-07T11:04:52",,,"2",,"UNICAMP","UEC",,"S",,,,"167218","2280","Baitello, JB; Lima, CR",,,,,,,,,,,,"2009","01","29",,,,,,,,"São Paulo","Itapeva","Itapeva","Estação Ecológica. Borda da lavoura da Agrovila.",,,,"-24.078889","-49.08",,,,,,,,,,,,"Marcondes-Ferreira, W",,"2013-10-NA",,,"Solanaceae",,,,,,,"Plantae","Magnoliopsida",,,,"Solanaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brazil","700","700",,,,,"-24.078889","-49.08",,"Splink",,,,"10",,"2013",,,,"UEC091597",,,,,,,,,,,,,,,,,,,"UEC",,"Baitello, J.B.","2280","2009","Marcondes-Ferreira, W.","2013","Lima, C.R.","Baitello",,"TRUE","-24.078889","-49.08","coord_original","seconds","ok_same_resolution","Solanaceae","A.Juss.","family_as_genus","Solanaceae","Solanaceae","A.Juss.","family","name accepted","bfo-225",,,"Solanaceae A.Juss.",,"Solanaceae",212172,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","low"
"gbif","5.37004840232548e-315",,"2024-08-06 09:15:26",,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/13/41320","41320","2231","J.B.Baitello & O.T. Aguiar & C.R.Lima",,,,,"PRESENT",,,,,,"2009-01-28","2009","1","28",,,,,,,"BR","Sp",,"Itapeva","Estação Ecológica",,,,"-24.073889","-49.081111",,,,,,,,,,,,"A.Maruyama",,"2018-02-02",,,"Melastomataceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Myrtales",,"Melastomataceae",,,,,,,,,,,"family",,"ACCEPTED",,"16ed67e5-fd70-4fd4-85c3-70ea2da627fe",,,"TRUE","FALSE",,"Melastomataceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"Cogn.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","2231","2009","Maruyama, A.","2018","Aguiar, O.T.; Lima, C.R.","Baitello",,"TRUE","-24.073889","-49.081111","coord_original","seconds","ok_same_resolution","Melastomataceae","A.Juss.","family_as_genus","Melastomataceae","Melastomataceae","A.Juss.","family","author misspelled","bfo-161",,,"Melastomataceae A.Juss.",,"Melastomataceae",212173,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","low"
"speciesLink",,,"2024-08-06T09:15:26",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"41320","2231","J.B.Baitello & O.T. Aguiar & C.R.Lima",,,,,,,,,,,,"2009","01","28",,,,,,,,"SP","Itapeva","Itapeva","Estação Ecológica",,,,"-24.073889","-49.081111",,,,,,,,,,,,"A.Maruyama",,"2018-02-02",,,"Melastomataceae",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales",,"Melastomataceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"Cogn.","Splink","02",,,"02",,"2018",,,,"SPSF00041320","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","2231","2009","Maruyama, A.","2018","Aguiar, O.T.; Lima, C.R.","Baitello",,"TRUE","-24.073889","-49.081111","coord_original","seconds","ok_same_resolution","Melastomataceae","A.Juss.","family_as_genus","Melastomataceae","Melastomataceae","A.Juss.","family","name accepted","bfo-161",,,"Melastomataceae A.Juss.",,"Melastomataceae",212174,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","low"
"gbif","1.48016301599731e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4874112",,,,,,"ESA","ESA",,"PRESERVED_SPECIMEN",,,"4874112","ESA023518","8736","Souza, V.C.;Souza, J.P.,Farah, F.T.,Sakuragui, C.M.,Scalon, V.R.,Wongtschowski, M.,Sanches, C.D.",,,,,"PRESENT",,,,,,"1995-08-18","1995","8","18","8/18/1995",,,"Erva, espiguetas verdes.",,,"BR","São Paulo",,"Itapeva","Estação Ecológica de Itapeva. Transição campo-cerrado.",,,,,,,,,,,,,,,,,,,,,,"Poaceae",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Poaceae",,,,,,,,,,,"family",,"ACCEPTED",,"02cb399f-3283-49fa-bce0-627c7f83083f",,,"FALSE","FALSE",,"Poaceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/2/35/18/esa00023518.dzi","Brasil",,,,,,,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESA",,"Souza, V.C.","8736","1995",,,"Souza, J.P.; Farah, F.T.; Sakuragui, C.M.; Scalon, V.R.; Wongtschowski, M.; Sanches, C.D.","Souza",,"TRUE","-24.077226","-49.075679","coord_gazet","seconds","ok_same_resolution","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",212175,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"gbif","2.44827494310362e-314",,"2024-07-23 11:32:07",,,"https://specieslink.net/col/8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/8/023518","023518","8736","Souza, V.C.; Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.",,,,,"PRESENT",,,,,,"1995-08-18","1995","8","18",,,,,,,"BR","São Paulo",,"Itapeva","Estação Ecológica de Itapeva. Transição campo-cerrado.",,,,,,,,,,,,,,,,,,,,,,"Poaceae",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Poaceae",,,,,,,,,,,"family",,"ACCEPTED",,"cbf8c968-37d6-45be-bf5c-e22914a384dc",,,"FALSE","FALSE",,"Poaceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/ESA023518","Brasil",,,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESA",,"Souza, V.C.","8736","1995",,,"Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.","Souza",,"TRUE","-24.077226","-49.075679","coord_gazet","seconds","ok_same_resolution","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",212176,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"speciesLink",,,"2025-01-15T09:43:20",,,"8",,"ESALQ","ESA",,"PreservedSpecimen",,,,"023518","8736","Souza, V.C.; Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.",,,,,,,,,,,,"1995","08","18",,,,,,,,"São Paulo","Itapeva","Itapeva","Estação Ecológica de Itapeva. Transição campo-cerrado.",,,,"-23.98","-48.869999",,"42926",,,,,,,,,,,,,,,"Poaceae",,,,,,,"Plantae","Magnoliophyta",,,,"Poaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"ESA023518",,,,,,,,,,,,,,,,,,,"ESA",,"Souza, V.C.","8736","1995",,,"Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.","Souza",,"TRUE","-23.98","-48.869999","coord_original","miliseconds","ok_same_resolution","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",212177,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"gbif","5.38063628840373e-315",,"2024-11-25 11:31:54",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/100496","100496","7454","Souza, VC; Miyagi, PH; Souza, JP; Nakagomi, MY",,,,,"PRESENT",,,,,,"1994-11-15","1994","11","15",,,,,,,"BR","São Paulo",,"Itapeva","Estação Ecológica de Itapeva",,,,"-24.076389","-49.068333",,,,,,,,,,,,,,,,,"Ochnaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales",,"Ochnaceae",,,,,,,,,,,"family",,"ACCEPTED",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,"TRUE","FALSE",,"Ochnaceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC017309","Brazil",,,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Souza, V.C.","7454","1994",,,"Miyagi, P.H.; Souza, J.P.; Nakagomi, M.Y.","Souza",,"TRUE","-24.076389","-49.068333","coord_original","seconds","ok_same_resolution","Ochnaceae","DC.","family_as_genus","Ochnaceae","Ochnaceae","DC.","family","name accepted","bfo-174",,,"Ochnaceae DC.",,"Ochnaceae",212178,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"speciesLink",,,"2025-04-07T11:01:33",,,"2",,"UNICAMP","UEC",,"S",,,,"100496","7454","Souza, VC; Miyagi, PH; Souza, JP; Nakagomi, MY",,,,,,,,,,,,"1994","11","15",,,,,,,,"São Paulo","Itapeva","Itapeva","Estação Ecológica de Itapeva",,,,"-24.076389","-49.068333",,,,,,,,,,,,,,,,,"Ochnaceae",,,,,,,"Plantae","Magnoliopsida",,,,"Ochnaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brazil",,,,,,,"-24.076389","-49.068333",,"Splink",,,,,,,,,,"UEC017309",,,,,,,,,,,,,,,,,,,"UEC",,"Souza, V.C.","7454","1994",,,"Miyagi, P.H.; Souza, J.P.; Nakagomi, M.Y.","Souza",,"TRUE","-24.076389","-49.068333","coord_original","seconds","ok_same_resolution","Ochnaceae","DC.","family_as_genus","Ochnaceae","Ochnaceae","DC.","family","name accepted","bfo-174",,,"Ochnaceae DC.",,"Ochnaceae",212179,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"speciesLink",,,"2024-08-06T09:14:24",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"20045","298","P.H.Miyagi",,,,,,,,,,,,"1995","02","11",,,,,,,,"SP","Itapeva","Itapeva","Estação Ecológica de Itapeva",,,,"-23.98","-48.869999",,"42926",,,,,,,,,,,,,,,"Lauraceae",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Laurales",,"Lauraceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"SPSF00020045","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Miyagi, P.H.","298","1995",,,,"Miyagi",,"TRUE","-23.98","-48.869999","coord_original","miliseconds","ok_same_resolution","Lauraceae","Juss.","family_as_genus","Lauraceae","Lauraceae","Juss.","family","name accepted","bfo-143",,,"Lauraceae Juss.",,"Lauraceae",212180,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica de itapeva",,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"gbif","5.37004245871576e-315",,"2024-08-06 09:12:43",,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/13/40128","40128","70","C.R.Lima & R.Cielo-Filho & J.B.Baitello",,,,,"PRESENT",,,,,,"2008-05-28","2008","5","28",,,,,,,"BR","Sp",,"Itapeva","estacao ecologica",,,,"-24.075556","-49.081944",,,,,,,,,,,,,,,,,"Cyperaceae",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Cyperaceae",,,,,,,,,,,"family",,"ACCEPTED",,"16ed67e5-fd70-4fd4-85c3-70ea2da627fe",,,"TRUE","FALSE",,"Cyperaceae",,"null","FALSE","LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SPSF",,"Lima, C.R.","70","2008",,,"Cielo Filho, R.; Baitello, J.B.","Lima",,"TRUE","-24.075556","-49.081944","coord_original","seconds","ok_same_resolution","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",212181,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"speciesLink",,,"2024-08-06T09:12:43",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"40128","70","C.R.Lima & R.Cielo-Filho & J.B.Baitello",,,,,,,,,,,,"2008","05","28",,,,,,,,"SP","Itapeva","Itapeva","estacao ecologica",,,,"-24.075556","-49.081944",,,,,,,,,,,,,,,,,"Cyperaceae",,,,,,,"Plantae","Magnoliophyta","Liliopsida","Poales",,"Cyperaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"SPSF00040128","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Lima, C.R.","70","2008",,,"Cielo Filho, R.; Baitello, J.B.","Lima",,"TRUE","-24.075556","-49.081944","coord_original","seconds","ok_same_resolution","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",212182,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
"speciesLink",,,"2024-08-06T09:12:43",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"40128","70","C.R.Lima & R.Cielo-Filho & J.B.Baitello",,,,,,,,,,,,"2008","05","28",,,,,,,,"SP","Itapeva","Itapeva","estacao ecologica",,,,"-24.075556","-49.081944",,,,,,,,,,,,,,,,,"Cyperaceae",,,,,,,"Plantae","Magnoliophyta","Liliopsida","Poales",,"Cyperaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"SPSF00040128","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Lima, C.R.","70","2008",,,"Cielo Filho, R.; Baitello, J.B.","Lima",,"TRUE","-24.075556","-49.081944","coord_original","seconds","ok_same_resolution","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",212183,"High","locality_exact",,"brazil","sao paulo","itapeva","estacao ecologica",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itapeva_estacao ecologica itapeva",-24.077226,-49.075679,"locality","brazil_sao paulo_itapeva_estacao ecologica itapeva","Brazil","São Paulo","itapeva","estacao ecologica","splink_jabot","unknown"
