"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","confidenceLocality","selectionCategory","tax.check","species.new"
"speciesLink",,,"2024-08-06T09:13:23",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"41667","291",,,,,,,,,,,,,"2009","05","12",,,,,,,,"SP","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una",,,,"-24.443889","-47.073611",,,,,,,,,,,,"C.de Moura",,"2009-05-14",,,"Acicarpha spathulata",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Calycerales",,"Calyceraceae",,,,"Acicarpha",,,,"spathulata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"R.Br.","Splink","14",,,"05",,"2009",,,,"SPSF00041667","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,,"291","2009","Moura, C.","2009",,,,"brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.443889,-47.073611,"coord_original","seconds","check_local.2municip.","Acicarpha spathulata","R.Br.","possibly_ok","Calyceraceae","Acicarpha spathulata","R.Br.","species","name accepted","bfo-101527",,,"Acicarpha spathulata R.Br.","Acicarpha","Calyceraceae",988757,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Acicarpha spathulata"
"speciesLink",,,"2024-08-28T17:10:47",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8731","s.n.","Moura, C.; Moraes, T.T.; Camargo, T.C.C.; Santos, M.M.",,,,,,,,,,,,"2007","09","04",,,,,,,,"São Paulo","Iguape","Iguape","Estação Ecológica Juréia-Itatins",,,,"-24.427222","-47.137222",,,,,,,,,,,,"Santos, A.L.",,,,,"Aechmea distichantha",,,,,,,"Plantae","Angiosperma",,,,"Bromeliaceae",,,,"Aechmea",,,,"distichantha",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-24.427222","-47.137222","Lem.","Splink",,,,,,,,,,"HUSC008731",,,,,,,,,,,,,,,,,,,"HUSC",,"Moura, C.",,"2007","Santos, A.L.",,"Moraes, T.T.; Camargo, T.C.C.; Santos, M.M.","Moura",,"brazil","sao paulo","iguape","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_iguape_estacao ecologica jureia itatins","brazil_sao paulo_iguape_eec jureia itatins",-24.416667,-47.25,"locality",TRUE,-24.427222,-47.137222,"coord_original","seconds","ok_same_resolution","Aechmea distichantha","Lem.","possibly_ok","Bromeliaceae","Aechmea distichantha","Lem.","species","name accepted","bfo-5799",,,"Aechmea distichantha Lem.","Aechmea","Bromeliaceae",1616646,"brazil_sao paulo_iguape_eec jureia itatins","Brazil","São Paulo","Iguape","EEc de Juréia-Itatins","treeco","Low","coord_original","low","Aechmea distichantha"
"speciesLink",,,"2024-08-06T09:12:29",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"40079","183","C. de Moura & T.T.Moraes & M.Ribeiro & M.M.Santos",,,,,,,,,,,,"2008","03","06",,,,,,,,"SP","Iguape","Iguape","E.Ecol.Juréia-Itatins",,,,"-24.428333","-47.108333",,,,,,,,,,,,"R.Louzada",,"2008-07-18",,,"Aechmea nudicaulis",,,,,,,"Plantae","Magnoliophyta","Liliopsida","Bromeliales",,"Bromeliaceae",,,,"Aechmea",,,,"nudicaulis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(L.) Griseb.","Splink","18",,,"07",,"2008",,,,"SPSF00040079","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Moura, C.","183","2008","Louzada, R.","2008","Moraes, T.T.; Ribeiro, M.; Santos, M.M.","Moura",,"brazil","sao paulo","iguape","estacao ecologicajureia-itatins",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",TRUE,-24.428333,-47.108333,"coord_original","seconds","check_local.2municip.","Aechmea nudicaulis","(L.) Griseb.","possibly_ok","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae",988828,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","Low","coord_original","low","Aechmea nudicaulis"
"speciesLink",,,"2024-08-06T09:12:29",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"38850","107","C. de Moura & T.T.Moraes & T.C.C.Camargo & M.M.Santos",,,,,,,,,,,,"2007","09","04",,,,,,,,"SP","Iguape","Iguape","E.Ecol.Juréia-Itatins",,,,"-24.427222","-47.137222",,,,,,,,,,,,"A.L.Santos",,"2008-02-29",,,"Aechmea pectinata",,,,,,,"Plantae","Magnoliophyta","Liliopsida","Bromeliales",,"Bromeliaceae",,,,"Aechmea",,,,"pectinata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"Baker","Splink","29",,,"02",,"2008",,,,"SPSF00038850","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Moura, C.","107","2007","Santos, A.L.","2008","Moraes, T.T.; Camargo, T.C.C.; Santos, M.M.","Moura",,"brazil","sao paulo","iguape","estacao ecologicajureia-itatins",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",TRUE,-24.427222,-47.137222,"coord_original","seconds","check_local.2municip.","Aechmea pectinata","Baker","possibly_ok","Bromeliaceae","Aechmea pectinata","Baker","species","name accepted","bfo-5853",,,"Aechmea pectinata Baker","Aechmea","Bromeliaceae",1002173,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","Low","coord_original","low","Aechmea pectinata"
"speciesLink",,,"2024-08-28T17:11:35",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11821","31","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","03","28",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-04-NA",,,"Ageratum conyzoides",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Ageratum",,,,"conyzoides",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(L.) L.","Splink",,,,"04",,"2017",,,,"HUSC011821",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","31","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Ageratum conyzoides","L.","possibly_ok","Asteraceae","Ageratum conyzoides","L.","species","author misspelled","bfo-15934",,,"Ageratum conyzoides L.","Ageratum","Asteraceae",1612631,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Ageratum conyzoides"
"speciesLink",,,"2024-08-28T17:11:25",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11828","38","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","03","28",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-04-NA",,,"Aloe arborescens",,,,,,,"Plantae","Angiosperma",,,,"Xanthorrhoeaceae",,,,"Aloe",,,,"arborescens",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","Mill.","Splink",,,,"04",,"2017",,,,"HUSC011828",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","38","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Aloe arborescens","Mill.","possibly_ok","Asphodelaceae","Aloe arborescens","Mill.","species","name accepted","bfo-609261",,,"Aloe arborescens Mill.","Aloe","Asphodelaceae",1616700,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Aloe arborescens"
"speciesLink",,,"2024-08-28T17:10:40",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11819","29","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","03","28",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-04-NA",,,"Alternanthera brasiliana",,,,,,,"Plantae","Angiosperma",,,,"Amaranthaceae",,,,"Alternanthera",,,,"brasiliana",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(L.) Kuntze","Splink",,,,"04",,"2017",,,,"HUSC011819",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","29","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Alternanthera brasiliana","(L.) Kuntze","possibly_ok","Amaranthaceae","Alternanthera brasiliana","(L.) Kuntze","species","name accepted","bfo-4302",,,"Alternanthera brasiliana (L.) Kuntze","Alternanthera","Amaranthaceae",1612669,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Alternanthera brasiliana"
"speciesLink",,,"2024-08-28T17:10:40",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11806","44","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","04","21",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-05-NA",,,"Amaryllidaceae",,,,,,,"Plantae","Angiosperma",,,,"Amaryllidaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,"05",,"2017",,,,"HUSC011806",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","44","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Amaryllidaceae","J. St.-Hil.","family_as_genus","Amaryllidaceae","Amaryllidaceae","J. St.-Hil.","family","name accepted","bfo-43",,,"Amaryllidaceae J. St.-Hil.",,"Amaryllidaceae",1616710,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low",
"speciesLink",,,"2024-08-28T17:10:41",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11519","03","Lourenço, B.F.",,,,,,,,,,,,"2016","11","11",,,,,,,,"São Paulo","Peruíbe","Peruíbe","RDS Barra do Una, Estação Ecológica da Juréia.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P. Sampaio",,"2016-11-NA",,,"Anacardium occidentale",,,,,,,"Plantae","Angiosperma",,,,"Anacardiaceae",,,,"Anacardium",,,,"occidentale",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","L.","Splink",,,,"11",,"2016",,,,"HUSC011519",,,,,,,,,,,,,,,,,,,"HUSC",,"Lourenco, B.F.","03","2016","Sampaio, P.S.P.","2016",,"Lourenco",,"brazil","sao paulo","peruibe","estacao ecologica da jureia",,"locality","brazil_sao paulo_peruibe_estacao ecologica jureia","brazil_sao paulo_peruibe_eec jureia itatins",-24.545629,-47.242058,"locality",TRUE,-24.32,-46.990002,"coord_original","miliseconds","ok_same_resolution","Anacardium occidentale","L.","possibly_ok","Anacardiaceae","Anacardium occidentale","L.","species","name accepted","bfo-4381",,,"Anacardium occidentale L.","Anacardium","Anacardiaceae",1612688,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Anacardium occidentale"
"speciesLink",,,"2024-08-06T09:15:00",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"41433","271","C.de Moura & T.C.C.Camargo & L.L.Novaes",,,,,,,,,,,,"2009","03","10",,,,,,,,"SP","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una",,,,"-24.438333","-47.065833",,,,,,,,,,,,"C.de Moura",,"2009-03-10",,,"Annona glabra",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Magnoliales",,"Annonaceae",,,,"Annona",,,,"glabra",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"L.","Splink","10",,,"03",,"2009",,,,"SPSF00041433","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Moura, C.","271","2009","Moura, C.","2009","Camargo, T.C.C.; Novaes, L.L.","Moura",,"brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.438333,-47.065833,"coord_original","seconds","check_local.2municip.","Annona glabra","L.","possibly_ok","Annonaceae","Annona glabra","L.","species","name accepted","bfo-117159",,,"Annona glabra L.","Annona","Annonaceae",989116,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Annona glabra"
"speciesLink",,,"2024-08-28T17:11:35",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11830","40","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","03","28",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-04-NA",,,"Baccharis crispa",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Baccharis",,,,"crispa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","Spreng.","Splink",,,,"04",,"2017",,,,"HUSC011830",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","40","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Baccharis crispa","Spreng.","possibly_ok","Asteraceae","Baccharis crispa","Spreng.","species","name accepted","bfo-5172",,,"Baccharis crispa Spreng.","Baccharis","Asteraceae",1612819,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Baccharis crispa"
"speciesLink",,,"2024-08-28T17:11:37",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8722","285","Moura, C.; Novaes, L.L.",,,,,,,,,,,,"2009","05","12",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentavel Barra do Una",,,,"-24.4425","-47.074167",,,,,,,,,,,,"Pastore, J.A.",,"2009-11-19",,,"Baccharis dracunculifolia",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Baccharis",,,,"dracunculifolia",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-24.4425","-47.074167","DC.","Splink","19",,,"11",,"2009",,,,"HUSC008722",,,,,,,,,,,,,,,,,,,"HUSC",,"Moura, C.","285","2009","Pastore, J.A.","2009","Novaes, L.L.","Moura",,"brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.4425,-47.074167,"coord_original","seconds","check_local.2municip.","Baccharis dracunculifolia","DC.","possibly_ok","Asteraceae","Baccharis dracunculifolia","DC.","species","name accepted","bfo-5177",,,"Baccharis dracunculifolia DC.","Baccharis","Asteraceae",1616841,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Baccharis dracunculifolia"
"speciesLink",,,"2024-08-06T09:16:15",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"41674","298","C.de Moura & L.L.Novaes",,,,,,,,,,,,"2009","05","12",,,,,,,,"SP","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una",,,,"-24.443056","-47.078056",,,,,,,,,,,,"J.A.Pastore",,"2010-12-03",,,"Bacopa monnieri",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Plantaginales",,"Plantaginaceae",,,,"Bacopa",,,,"monnieri",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(L.) Wettst.","Splink","03",,,"12",,"2010",,,,"SPSF00041674","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Moura, C.","298","2009","Pastore, J.A.","2010","Novaes, L.L.","Moura",,"brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.443056,-47.078056,"coord_original","seconds","check_local.2municip.","Bacopa monnieri","(L.) Pennell","possibly_ok","Plantaginaceae","Bacopa monnieri","(L.) Pennell","species","author misspelled","bfo-12885",,,"Bacopa monnieri (L.) Pennell","Bacopa","Plantaginaceae",1002805,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Bacopa monnieri"
"speciesLink",,,"2024-10-28T16:05:29",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"12019","55","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","05","25",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-05-NA",,,"Bidens pilosa",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Bidens",,,,"pilosa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","L.","Splink",,,,"05",,"2017",,,,"HUSC012019",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","55","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Bidens pilosa","L.","possibly_ok","Asteraceae","Bidens pilosa","L.","species","name accepted","bfo-103749",,,"Bidens pilosa L.","Bidens","Asteraceae",1616894,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Bidens pilosa"
"speciesLink",,,"2024-08-28T17:10:40",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"11792","03","L.P. Moreira; T.R. Souza",,,,,,,,,,,,"2017","03","24",,,,,,,,"São Paulo","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una.",,,,"-24.32","-46.990002",,"21922",,,,,,,,,,"P.S.P Sampaio; G.C. Marins",,"2017-04-NA",,,"Blutaparon portulacoides",,,,,,,"Plantae","Angiosperma",,,,"Amaranthaceae",,,,"Blutaparon",,,,"portulacoides",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(A.St.-Hil.) Mears","Splink",,,,"04",,"2017",,,,"HUSC011792",,,,,,,,,,,,,,,,,,,"HUSC",,"Moreira, L.P.","03","2017","Sampaio, P.S.P.","2017","Souza, T.R.","Moreira","Marins, G.C.","brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.32,-46.990002,"coord_original","miliseconds","check_local.2municip.","Blutaparon portulacoides","(A.St.-Hil.) Mears","possibly_ok","Amaranthaceae","Blutaparon portulacoides","(A.St.-Hil.) Mears","species","name accepted","bfo-15411",,,"Blutaparon portulacoides (A.St.-Hil.) Mears","Blutaparon","Amaranthaceae",1616933,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Blutaparon portulacoides"
"speciesLink",,,"2024-08-06T09:16:30",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"41039","204","C. de Moura & T.C.C.Camargo & L.L.Novaes",,,,,,,,,,,,"2008","11","05",,,,,,,,"SP","Peruíbe","Peruíbe","Reserva de Desenvolvimento Sustentável Barra do Una",,,,"-24.442222","-47.076667",,,,,,,,,,,,"J.A.Pastore",,"2009-02-19",,,"Borreria verticillata",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Rubiales",,"Rubiaceae",,,,"Borreria",,,,"verticillata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(L.) G.Mey.","Splink","19",,,"02",,"2009",,,,"SPSF00041039","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Moura, C.","204","2008","Pastore, J.A.","2009","Camargo, T.C.C.; Novaes, L.L.","Moura",,"brazil","sao paulo","peruibe","reserva de desenvolvimento sustentavel barra do una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.442222,-47.076667,"coord_original","seconds","check_local.2municip.","Borreria verticillata","(L.) G.Mey.","possibly_ok","Rubiaceae","Borreria verticillata","(L.) G.Mey.","species","name accepted","bfo-20712",,,"Borreria verticillata (L.) G.Mey.","Borreria","Rubiaceae",989729,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","High","locality_exact","low","Borreria verticillata"
"gbif","1.96032275538737e-314",,"2016-06-16","Dataset","225",,,"Instituto de Biociências - Universidade de São Paulo","Instituto de Biociências - Universidade de São Paulo","SinBIOTA","OCCURRENCE",,,"21974000","21974",,"Alexandre Souza dos Santos","1549",,,,"PRESENT",,,,,,"2015","2015",,,,"Área c/ influência fluvial arbórea- Mata ciliar","Coleta manual sistemática. Coleta a mão livre e com auxílio de espátulas em caules de Rhizofora, visando escolha de indivíduos sadios  A espécie encontrava-se em abundância e foi coletada no manguezal do Rio Una.",,,"21880","BR","Sp",,"Peruíbe","Rio Una","Rio Una",,,"-24.4361793","-47.0798079",,,,,,,,,,,,,,,,"24973","Bostrychia radicans",,,,,,,"Plantae","Rhodophyta","Florideophyceae","Ceramiales",,"Rhodomelaceae",,,,"Bostrychia","Bostrychia",,,"radicans",,,"species",,"ACCEPTED",,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Bostrychia radicans","Bostrychia radicans (Mont.) Mont.","Bostrychia radicans (Mont.) Mont.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brazil",,,,,"EPSG:4291",,,,"(Mont.) Mont.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instituto de Biociências - Universidade de São Paulo","code not found","Santos, A.S.",,"2015",,,,"Santos",,"brazil","sao paulo","peruibe","rio una",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county",TRUE,-24.4361793,-47.0798079,"coord_original","miliseconds","check_local.2municip.","Bostrychia radicans","(Mont.) Mont.","name_w_authors",,"Bostrychia radicans","(Mont.) Mont.","species","not found",,,,"Bostrychia radicans (Mont.) Mont.","Bostrychia","Ophioglossaceae",725784,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge","Low","coord_original","unknown","Bostrychia radicans"
