"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","tax.check","species.new"
"speciesLink",,,"2020-03-24T13:14:00",,,"728",,"HRCB","MO-DUPLICATES",,"PRESERVED_SPECIMEN",,,,"101055822","1131","Leonardo Biral|et al.",,,,,,,,,,,,"2016","7","20",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Ruderal.",,,,"-22.6629833","-47.9341367",,,,,,,,,,,,"M.H. Nee (MO)",,"2020-NA-NA",,,"Solanum scuticum",,,,,,,"Plantae",,,,,"Solanaceae",,,,"Solanum",,,,"scuticum",,,,,,,,,,,,,,,,,,,,,"Brazil","600.00000000",,,,,,,,"M. Nee","Splink","PreservedSpecimen",,,,,,"2020",,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Biral, L.","1131","2016","Nee, M.H.","2020","Al., E.","Biral",,"brazil","sao paulo","rio claro","ruderal",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Solanum scuticum","M.Nee","possibly_ok","Solanaceae","Solanum scuticum","M.Nee","species","author misspelled","bfo-14857",,,"Solanum scuticum M.Nee","Solanum","Solanaceae",1652631,"TRUE","-22.6629833",-47.9341367,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Solanum scuticum"
"speciesLink",,,"2022-07-26T19:39:10",,,"453",,"UFMG","BHCB-SL",,"PRESERVED_SPECIMEN",,,,"178529","35","Castilho, IOM; Salino, A; Moura, LC; Fantecelle, LB",,,,,,,,,,,,"2015","11","01",,,,,,,,"São Paulo","Piracicaba","Piracicaba","Pedra de São Domingos.",,,,"-22.691667","-47.959722",,,,,,,,,,,,"Salino, A",,,,,"Elaphoglossum edwallii",,,,,,,"Plantae",,,,,"Dryopteridaceae",,,,"Elaphoglossum",,,,"edwallii",,,,,,,,,,,,,,,,,,,,,"Brasil","2040","2040",,,,,"-22.691667","-47.959722","Rosenst.","Splink","PreservedSpecimen",,,,,,,,,,"BHCB048631","América",,,,,,,,,,,,,,,,,,"BHCB",,"Castilho, I.O.M.","35","2015","Salino, A.",,"Salino, A.; Moura, L.C.; Fantecelle, L.B.","Castilho",,"brazil","sao paulo","piracicaba","pedra de sao domingos",,"locality","brazil_sao paulo_piracicaba","brazil_sao paulo_piracicaba",-22.72594757,-47.78269974,"county","brazil_sao paulo_piracicaba","Brazil","São Paulo","Piracicaba",,"ibge","check_local.2municip.","Elaphoglossum edwallii","Rosenst.","possibly_ok","Dryopteridaceae","Elaphoglossum edwallii","Rosenst.","species","name accepted","bfo-91025",,,"Elaphoglossum edwallii Rosenst.","Elaphoglossum","Dryopteridaceae",1626497,"TRUE","-22.691667",-47.959722,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","high","Elaphoglossum edwallii"
"speciesLink",,,"2022-12-26T10:31:16",,,"453",,"UFMG","BHCB-SL",,"PRESERVED_SPECIMEN",,,,"178531","37","Castilho, IOM; Salino, A; Moura, LC; Fantecelle, LB",,,,,,,,,,,,"2015","11","01",,,,,,,,"São Paulo","Piracicaba","Piracicaba","Pedra de São Domingos.",,,,"-22.691667","-47.959722",,,,,,,,,,,,"Salino, A",,"2015-11-01",,,"Elaphoglossum vagans",,,,,,,"Plantae",,,,,"Dryopteridaceae",,,,"Elaphoglossum",,,,"vagans",,,,,,,,,,,,,,,,,,,,,"Brasil","2040","2040",,,,,"-22.691667","-47.959722","(Mett.) Hieron.","Splink","PreservedSpecimen","01",,,"11",,"2015",,,,,"América",,,,,,,,,,,,,,,,,,"BHCB",,"Castilho, I.O.M.","37","2015","Salino, A.","2015","Salino, A.; Moura, L.C.; Fantecelle, L.B.","Castilho",,"brazil","sao paulo","piracicaba","pedra de sao domingos",,"locality","brazil_sao paulo_piracicaba","brazil_sao paulo_piracicaba",-22.72594757,-47.78269974,"county","brazil_sao paulo_piracicaba","Brazil","São Paulo","Piracicaba",,"ibge","check_local.2municip.","Elaphoglossum vagans","(Mett. ex Kuhn) Hieron.","possibly_ok","Dryopteridaceae","Elaphoglossum vagans","(Mett. ex Kuhn) Hieron.","species","author misspelled","bfo-91086",,,"Elaphoglossum vagans (Mett. ex Kuhn) Hieron.","Elaphoglossum","Dryopteridaceae",1627124,"TRUE","-22.691667",-47.959722,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","high","Elaphoglossum vagans"
"speciesLink",,,"2025-06-04T12:51:08",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"60980","894","Biral, L.",,,,,,,,,,,,"2013","09","27",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Em arboreto próximo ao Departamento de Pedagogia",,,,"-22.658294","-47.914153",,,,,,,,,,,,"Moraes, P.",,"2013-10-NA",,,"Nectandra nitidula",,,,,,,"Plantae",,,,,"Lauraceae",,,,"Nectandra",,,,"nitidula",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"22º39'29.86""S","47º54'50.95""W","Nees & Mart.","Splink","PreservedSpecimen",,,,"10",,"2013",,,,"HRCB060980",,,,,,,,,,,,,,,,,,,"HRCB",,"Biral, L.","894","2013","Moraes, P.","2013",,"Biral",,"brazil","sao paulo","rio claro","em arboreto proximo ao departamento de pedagogia",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Nectandra nitidula","Nees & Mart.","possibly_ok","Lauraceae","Nectandra nitidula","Nees & Mart.","species","name accepted","bfo-8433",,,"Nectandra nitidula Nees & Mart.","Nectandra","Lauraceae",1103174,"TRUE","-22.658294",-47.914153,"coord_original","miliseconds","ok_state","prob_cultivated",0,"ok_dist","full_name_match","Low","coord_original","high","Nectandra nitidula"
"speciesLink",,,"2024-07-29T15:55:14",,,"159",,"UFRPE","PEUFR",,"PRESERVED_SPECIMEN",,,,"53188","754","L. Biral",,,,,,,,,,,,"2012","07","22",,,,,,,,"São Paulo","Rio Claro","Rio Claro","UNESP Bela Vista",,,,"-22.666389","-47.913333",,,,,,,,,,,,"L.L. Giacomin",,"2024-01-NA",,,"Solanum didymum",,,,,,,"Plantae",,,,,"Solanaceae",,,,"Solanum",,,,"didymum",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"22°39'59""S","47°54'48""W","Dunal","Splink","PreservedSpecimen",,,,"01",,"2024",,,,"PEUFR053188",,,,,,,,,,,,,,,,,,,"PEUFR",,"Biral, L.","754","2012","Giacomin, L.L.","2024",,"Biral",,"brazil","sao paulo","rio claro","unesp bela vista",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Solanum didymum","Dunal","possibly_ok","Solanaceae","Solanum didymum","Dunal","species","name accepted","bfo-88088",,,"Solanum didymum Dunal","Solanum","Solanaceae",1541248,"TRUE","-22.666389",-47.913333,"coord_original","seconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Solanum didymum"
"speciesLink",,,"2022-12-03T23:21:00",,,"88",,"MO","MO",,"PRESERVED_SPECIMEN",,,,"103053524","679","Leonardo Biral|et al.",,,,,,,,,,,,"2012","3","1",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Unesp campus Bela Vista.",,,,"-22.66165","-47.9128167",,,,,,,,,,,,"M.H. Nee (MO)",,"2020-NA-NA",,,"Solanum paniculatum",,,,,,,"Plantae",,,,,"Solanaceae",,,,"Solanum",,,,"paniculatum",,,,,,,,,,,,,,,,,,,,,"Brazil","626.00000000",,,,,,,,"L.","Splink","PreservedSpecimen",,,,,,"2020",,,,,"South America",,,,,,,,,,,,,,,,,,"MO",,"Biral, L.","679","2012","Nee, M.H.","2020","Al., E.","Biral",,"brazil","sao paulo","rio claro","unesp campus bela vista",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Solanum paniculatum","L.","possibly_ok","Solanaceae","Solanum paniculatum","L.","species","name accepted","bfo-14821",,,"Solanum paniculatum L.","Solanum","Solanaceae",1523625,"TRUE","-22.66165",-47.9128167,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Solanum paniculatum"
"speciesLink",,,"2025-02-04T08:00:31",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"58722","791","Biral, L.",,,,,,,,,,,,"2012","10","10",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Próximo ao campo de futebol do IB",,,,"-22.665","-47.911894",,,,,,,,,,,,"Biral, L.",,"2013-10-NA",,,"Maytenus gonoclada",,,,,,,"Plantae",,,,,"Celastraceae",,,,"Maytenus",,,,"gonoclada",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"22º39'54,95""S","47º54'42.82""W","Mart.","Splink","PreservedSpecimen",,,,"10",,"2013",,,,"HRCB058722",,,,,,,,,,,,,,,,,,,"HRCB",,"Biral, L.","791","2012","Biral, L.","2013",,"Biral",,"brazil","sao paulo","rio claro","proximo ao campo de futebol do ib",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Monteverdia gonoclados","(Mart.) Biral","possibly_ok","Celastraceae","Monteverdia gonoclados","(Mart.) Biral","species","replaced orth. variant","bfo-605640","Monteverdia gonoclados","(Mart.) Biral","Monteverdia gonoclados (Mart.) Biral","Monteverdia","Celastraceae",1102449,"TRUE","-22.665",-47.911894,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Monteverdia gonoclados"
"speciesLink",,,"2025-06-04T12:49:55",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"56807","670","Biral, L.",,,,,,,,,,,,"2012","03","01",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Unesp Campus Bela Vista Área abaixo do CEIS ( Centro de Insetos Sociais)",,,,"-22.661456","-47.9126",,,,,,,,,,,,"Teles, A.M.",,"2012-07-NA",,,"Chromolaena laevigata",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Chromolaena",,,,"laevigata",,,,,,,,,,,,,,,,,,,,,"Brasil","626","626",,,,,"22º39'41.24""S","47º54'45.36""W","(Lam.) R.M.King & H.Rob.","Splink","PreservedSpecimen",,,,"07",,"2012",,,,"HRCB056807",,,,,,,,,,,,,,,,,,,"HRCB",,"Biral, L.","670","2012","Teles, A.M.","2012",,"Biral",,"brazil","sao paulo","rio claro","unesp campus bela vista area abaixo do ceis",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Chromolaena laevigata","(Lam.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Chromolaena laevigata","(Lam.) R.M.King & H.Rob.","species","name accepted","bfo-16058",,,"Chromolaena laevigata (Lam.) R.M.King & H.Rob.","Chromolaena","Asteraceae",1098821,"TRUE","-22.661456",-47.9126,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Chromolaena laevigata"
"user",,,,,,,,"HUFU","HUFU",,"PRESERVED_SPECIMEN",,,,"HUFU00026247","677","Biral, L.",,,,,,,,,,,,"2012","03","01",,,,,,,,"São Paulo",,"Rio Claro","UNESP campus Bela Vista Remanescente de cerrado bastante degradado, área abaixoi do CEIS (Centro de Estudos de Insetos Sociais).",,"626",,"-22.6694444444444","-47.9213888888889",,,,,,,,,,,"não","Biral, L",,"--/03/2012",,,"Solanum lycocarpum A.St.-Hil.",,,,,,,,,,,,"Solanaceae",,,,"Solanum",,,,,,,"species",,,,,,,,,"lycocarpum",,"SOLANACEAE Solanum lycocarpum A.St.-Hil.",,,,,,,"Brasil",,,,,,,"22º 40' 10"""" S","47º 55' 17"""" W","A.St.-Hil.","Reflora",,,,,,,,,,,,,,,,,"HUFU",,,,"Araújo, D.,Araújo, D,Biral, L","01/03/2012",,,"METRO",,,,,"HUFU",,"Biral, L.","677","2012","Biral, L.","2012",,"Biral",,"brazil","sao paulo","rio claro","unesp campus bela vista remanescente de cerrado bastante degradado",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Solanum lycocarpum","A.St.-Hil.","name_w_authors","Solanaceae","Solanum lycocarpum","A.St.-Hil.","species","name accepted","bfo-14805",,,"Solanum lycocarpum A.St.-Hil.","Solanum","Solanaceae",1719041,"TRUE","-22.6694444444444",-47.9213888888889,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Solanum lycocarpum"
"user",,,,,,,,"HRCB","HRCB",,"PRESERVED_SPECIMEN",,,,"IBGE00078127","668","Biral, L",,,,,,,,,,,,"2012","03","01",,,,"Árvore,  3  m  de  altura,  folíolos  cartáceos,  frutos  imaturos  verdes. Habitat: Cerrado Habito: Árvore",,,,"São Paulo",,"Rio Claro","Unesp campus Bela Vista. Remanescente de cerrado bastante degradado, área abaixo do CEIS (Centro de Insetos Sociais). Folha Cartográfica SF-23-Y-A Coordenada Coletada.",,"626",,"-22.6694444444444","-47.9213888888889",,,,,,,,,,,"não","Biral, L",,"--/03/2012",,,"Copaifera langsdorffii Desf.",,,,,,,,,,,,"Fabaceae",,,,"Copaifera",,,,,,,"species",,,,,,,,,"langsdorffii",,"FABACEAE Copaifera langsdorffii Desf.",,,,,,,"Brasil",,,,,,,"22º 40' 10"""" S","47º 55' 17"""" W","Desf.","Reflora",,,,,,"Árvore,  3  m  de  altura,  folíolos  cartáceos,  frutos  imaturos  verdes. Habitat: Cerrado Habito: Árvore",,,,,,,,,,,"IBGE",,"IBGE 78127",,"Araújo, D","01/03/2012",,,"METRO",,,,,"HRCB",,"Biral, L.","668","2012","Biral, L.","2012",,"Biral",,"brazil","sao paulo","rio claro","unesp campus bela vista",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Copaifera langsdorffii","Desf.","name_w_authors","Fabaceae","Copaifera langsdorffii","Desf.","species","name accepted","bfo-22896",,,"Copaifera langsdorffii Desf.","Copaifera","Fabaceae",1727519,"TRUE","-22.6694444444444",-47.9213888888889,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","high","Copaifera langsdorffii"
"speciesLink",,,"2023-03-08T16:41:00",,,"88",,"MO","MO",,"PRESERVED_SPECIMEN",,,,"103053641","1129","Leonardo Biral|et al.",,,,,,,,,,,,"2016","4","22",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Ruderal.",,,,"-22.6629833","-47.9341367",,,,,,,,,,,,"M. H. Nee (MO)",,"2023-NA-NA",,,"Acalypha poiretii",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Acalypha",,,,"poiretii",,,,,,,,,,,,,,,,,,,,,"Brazil","600.00000000",,,,,,,,"Spreng.","Splink","PreservedSpecimen",,,,,,"2023",,,,"MO0101506364","South America",,,,,,,,,,,,,,,,,,"MO",,"Biral, L.","1129","2016","Nee, M.H.","2023","Al., E.","Biral",,"brazil","sao paulo","rio claro","ruderal",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Acalypha poiretii","Spreng.","possibly_ok","Euphorbiaceae","Acalypha poiretii","Spreng.","species","name accepted","bfo-17442",,,"Acalypha poiretii Spreng.","Acalypha","Euphorbiaceae",1519447,"TRUE","-22.6629833",-47.9341367,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","low","Acalypha poiretii"
"speciesLink",,,"2022-12-03T23:21:00",,,"88",,"MO","MO",,"PRESERVED_SPECIMEN",,,,"103053626","1109","Leonardo Biral|et al.",,,,,,,,,,,,"2015","9","5",,,,,,,,"São Paulo","Rio Claro","Rio Claro","Campus Unesp Bela Vista, próximo do departamento de Microbiologia.",,,,"-22.6612722","-47.9131889",,,,,,,,,,,,"L. Biral",,,,,"Gliricidia sepium",,,,,,,"Plantae",,,,,"Fabaceae",,,,"Gliricidia",,,,"sepium",,,,,,,,,,,,,,,,,,,,,"Brazil","626.00000000",,,,,,,,"(Jacq.) Kunth ex Walp.","Splink","PreservedSpecimen",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO",,"Biral, L.","1109","2015","Biral, L.",,"Al., E.","Biral",,"brazil","sao paulo","rio claro","campus unesp bela vista",,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county","brazil_sao paulo_rio claro","Brazil","São Paulo","Rio Claro",,"gdam","check_local.2municip.","Gliricidia sepium","(Jacq.) Kunth ex Walp.","possibly_ok","Fabaceae","Gliricidia sepium","(Jacq.) Kunth ex Walp.","species","name accepted","bfo-120375",,,"Gliricidia sepium (Jacq.) Kunth ex Walp.","Gliricidia","Fabaceae",1520610,"TRUE","-22.6612722",-47.9131889,"coord_original","miliseconds","ok_state",,0,"ok_dist","full_name_match","Low","coord_original","low","Gliricidia sepium"
