"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","53189","6833","N.M.Ivanauskas",,,"2017","07","19",,,,"Brasil",,"SP","Bertióga","Bertióga","Parque Estadual Restinga de Bertioga",,,"-23.758056","-45.925833",,,,,"C.Kameyama","2017-07-19",,"Brillantaisia lamium","Acanthaceae","Brillantaisia",,"(Nees) (Benth.)",,,,,"19","07","2017",,,,,,,,"SPSF00053189","Splink","SPSF",,"Ivanauskas, N.M.","6833","2017","Kameyama, C.","2017",,"Ivanauskas",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Brillantaisia lamium","(Nees) Benth.","possibly_ok","Acanthaceae","Brillantaisia lamium","(Nees) Benth.","species","author misspelled","bfo-605025",,,"Brillantaisia lamium (Nees) Benth.","Brillantaisia","Acanthaceae","Brillantaisia lamium",849358,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.758056,-45.925833,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15302","5389","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR2-C-P2",,,"-23.854401","-46.138599","37616","0","0",,"M.P.Sandrini",,,"Zollernia ilicifolia","Fabaceae","Zollernia",,"(Brongn.) Vogel",,,,,,,,,,,,,,,"HUSC015302","Splink","HUSC",,"Ambiental, A.C.","5389",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Zollernia ilicifolia","(Brongn.) Vogel","possibly_ok","Fabaceae","Zollernia ilicifolia","(Brongn.) Vogel","species","name accepted","bfo-29915",,,"Zollernia ilicifolia (Brongn.) Vogel","Zollernia","Fabaceae","Zollernia ilicifolia",1348444,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.854401,-46.138599,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15274","2024","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7-C-P4",,,"-23.791975","-46.092953",,"-23.791975","-46.092953",,"M.P.Sandrini",,,"Sorocea jureiana","Moraceae","Sorocea",,"Romaniuc",,,,,,,,,,,,,,,"HUSC015274","Splink","HUSC",,"Ambiental, A.C.","2024",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Sorocea jureiana","Romaniuc","possibly_ok","Moraceae","Sorocea jureiana","Romaniuc","species","name accepted","bfo-10194",,,"Sorocea jureiana Romaniuc","Sorocea","Moraceae","Sorocea jureiana",1345902,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.791975,-46.092953,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","12935","7941","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR8-B-P4",,,"-23.784806","-46.091403",,"-23.784806","-46.091403",,"M.P.Sandrini",,,"Mouriri chamissoana","Melastomataceae","Mouriri",,"Cogn.",,,,,,,,,,,,,,,"HUSC012935","Splink","HUSC",,"Ambiental, A.C.","7941",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Mouriri chamissoana","Cogn.","possibly_ok","Melastomataceae","Mouriri chamissoana","Cogn.","species","name accepted","bfo-9817",,,"Mouriri chamissoana Cogn.","Mouriri","Melastomataceae","Mouriri chamissoana",1345261,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.784806,-46.091403,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15425","851","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR6",,,"-23.789306","-46.112747",,"-23.789306","-46.112747",,"M.P.Sandrini",,,"Justicia carnea","Acanthaceae","Justicia",,"Lindl.",,,,,,,,,,,,,,,"HUSC015425","Splink","HUSC",,"Ambiental, A.C.","851",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Justicia carnea","Lindl.","possibly_ok","Acanthaceae","Justicia carnea","Lindl.","species","name accepted","bfo-4141",,,"Justicia carnea Lindl.","Justicia","Acanthaceae","Justicia carnea",1345032,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.789306,-46.112747,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15457","2308","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-E-P1",,,"-23.799339","-46.120136",,"-23.799339","-46.120136",,"M.P.Sandrini",,,"Garcinia gardneriana","Clusiaceae","Garcinia",,"(Planch. & Triana) Zappi",,,,,,,,,,,,,,,"HUSC015457","Splink","HUSC",,"Ambiental, A.C.","2308",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Garcinia gardneriana","(Planch. & Triana) Zappi","possibly_ok","Clusiaceae","Garcinia gardneriana","(Planch. & Triana) Zappi","species","name accepted","bfo-6853",,,"Garcinia gardneriana (Planch. & Triana) Zappi","Garcinia","Clusiaceae","Garcinia gardneriana",1344834,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.799339,-46.120136,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15426","852","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR3",,,"-23.792828","-46.116389",,"-23.792828","-46.116389",,"M.P.Sandrini",,,"Aphelandra prismatica","Acanthaceae","Aphelandra",,"(Vell.) Hiern",,,,,,,,,,,,,,,"HUSC015426","Splink","HUSC",,"Ambiental, A.C.","852",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Aphelandra prismatica","(Vell.) Hiern","possibly_ok","Acanthaceae","Aphelandra prismatica","(Vell.) Hiern","species","name accepted","bfo-4108",,,"Aphelandra prismatica (Vell.) Hiern","Aphelandra","Acanthaceae","Aphelandra prismatica",1346304,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.792828,-46.116389,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15009","41","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau.",,,"-23.787853","-46.107483",,"-23.787853","-46.107483",,"M.P.Sandrini",,,"Alchornea triplinervia","Euphorbiaceae","Alchornea",,"(Spreng.) Müll.Arg.",,,,,,,,,,,,,,,"HUSC015009","Splink","HUSC",,"Ambiental, A.C.","41",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Alchornea triplinervia","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll.Arg.","species","name accepted","bfo-17458",,,"Alchornea triplinervia (Spreng.) Müll.Arg.","Alchornea","Euphorbiaceae","Alchornea triplinervia",1344050,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.787853,-46.107483,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15448","836","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-A",,,"-23.854401","-46.138599","37616","0","0",,"M.P.Sandrini",,,"Aechmea nudicaulis","Bromeliaceae","Aechmea",,"(L.) Griseb.",,,,,,,,,,,,,,,"HUSC015448","Splink","HUSC",,"Ambiental, A.C.","836",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Aechmea nudicaulis","(L.) Griseb.","possibly_ok","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","Aechmea nudicaulis",1344030,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.854401,-46.138599,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15517","769","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR3",,,"-23.792828","-46.116389",,"-23.792828","-46.116389",,"M.P.Sandrini","2021-01-NA",,"Guapira pernambucensis","Nyctaginaceae","Guapira",,"(Casar.) Lundell",,,,,,"01","2021",,,,,,,,"HUSC015517","Splink","HUSC",,"Ambiental, A.C.","769",,"Sandrini, M.P.","2021",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Guapira pernambucensis","(Casar.) Lundell","possibly_ok","Nyctaginaceae","Guapira pernambucensis","(Casar.) Lundell","species","name accepted","bfo-10914",,,"Guapira pernambucensis (Casar.) Lundell","Guapira","Nyctaginaceae","Guapira pernambucensis",1347025,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.792828,-46.116389,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","16039","303","F. Siqueira",,,"2025","05","29",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga (PERB). trilha que dá acesso a praia de Itaguaré, entre a rodovia e a praia.",,,"-23.854401","-46.138599","37616","0","0",,"P. S. P. Sampaio","2025-05-NA",,"Piptocarpha notata","Asteraceae","Piptocarpha",,"(Less.) Baker",,,,,,"05","2025",,,,,,,,"HUSC016039","Splink","HUSC",,"Siqueira, F.","303","2025","Sampaio, P.S.P.","2025",,"Siqueira",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga, entre a rodovia e a praia","parque estadual restinga de bertioga","locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Piptocarpha notata","(Less.) Baker","possibly_ok","Asteraceae","Piptocarpha notata","(Less.) Baker","species","name accepted","bfo-5481",,,"Piptocarpha notata (Less.) Baker","Piptocarpha","Asteraceae","Piptocarpha notata",1347841,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.854401,-46.138599,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15936","12","T. Malaquias; E. Malaquias",,,"2023","10","22",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.2575","-46.557778",,"-24.2575","-46.557778",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Xylopia langsdorffiana","Annonaceae","Xylopia",,"A.St.-Hil.",,,,,,"03","2024",,,,,,,,"HUSC015936","Splink","HUSC",,"Malaquias, T.","12","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Xylopia langsdorffiana","A.St.-Hil.","possibly_ok","Annonaceae","Xylopia langsdorffiana","A.St.-Hil.","species","name accepted","bfo-110573",,,"Xylopia langsdorffiana A.St.-Hil.","Xylopia","Annonaceae","Xylopia langsdorffiana",1346124,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15955","31","T. Malaquias; E. Malaquias",,,"2023","12","01",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.257297","-46.554906",,"-24.257297","-46.554906",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Xylopia brasiliensis","Annonaceae","Xylopia",,"Spreng.",,,,,,"03","2024",,,,,,,,"HUSC015955","Splink","HUSC",,"Malaquias, T.","31","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Xylopia brasiliensis","Spreng.","possibly_ok","Annonaceae","Xylopia brasiliensis","Spreng.","species","name accepted","bfo-110560",,,"Xylopia brasiliensis Spreng.","Xylopia","Annonaceae","Xylopia brasiliensis",1346123,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","miliseconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15942","18","T. Malaquias; E. Malaquias",,,"2023","10","28",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.244167","-46.551111",,"-24.244167","-46.551111",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Tapirira guianensis","Anacardiaceae","Tapirira",,"Aubl.",,,,,,"03","2024",,,,,,,,"HUSC015942","Splink","HUSC",,"Malaquias, T.","18","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Tapirira guianensis","Aubl.","possibly_ok","Anacardiaceae","Tapirira guianensis","Aubl.","species","name accepted","bfo-4408",,,"Tapirira guianensis Aubl.","Tapirira","Anacardiaceae","Tapirira guianensis",1348278,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15952","28","T. Malaquias; E. Malaquias",,,"2023","12","01",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.258008","-46.535681",,"-24.258008","-46.535681",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Tabebuia cassinoides","Bignoniaceae","Tabebuia",,"(Lam.) DC.",,,,,,"03","2024",,,,,,,,"HUSC015952","Splink","HUSC",,"Malaquias, T.","28","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Tabebuia cassinoides","(Lam.) DC.","possibly_ok","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","Tabebuia cassinoides",1348265,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","miliseconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15950","26","T. Malaquias; E. Malaquias",,,"2023","11","17",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.266111","-46.543333",,"-24.266111","-46.543333",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Sloanea guianensis","Elaeocarpaceae","Sloanea",,"(Aubl.) Benth.",,,,,,"03","2024",,,,,,,,"HUSC015950","Splink","HUSC",,"Malaquias, T.","26","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Sloanea guianensis","(Aubl.) Benth.","possibly_ok","Elaeocarpaceae","Sloanea guianensis","(Aubl.) Benth.","species","name accepted","bfo-7447",,,"Sloanea guianensis (Aubl.) Benth.","Sloanea","Elaeocarpaceae","Sloanea guianensis",1345851,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15932","8","T. Malaquias; E. Malaquias",,,"2023","10","22",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.257778","-46.556944",,"-24.257778","-46.556944",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Psidium cattleyanum","Myrtaceae","Psidium",,"Sabine",,,,,,"03","2024",,,,,,,,"HUSC015932","Splink","HUSC",,"Malaquias, T.","8","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Psidium cattleyanum","Sabine","possibly_ok","Myrtaceae","Psidium cattleyanum","Sabine","species","name accepted","bfo-10858",,,"Psidium cattleyanum Sabine","Psidium","Myrtaceae","Psidium cattleyanum",1347937,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15928","4","T. Malaquias; E. Malaquias",,,"2023","10","22",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.258333","-46.555556",,"-24.258333","-46.555556",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Pleroma trichopodum","Melastomataceae","Pleroma",,"DC.",,,,,,"03","2024",,,,,,,,"HUSC015928","Splink","HUSC",,"Malaquias, T.","4","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Pleroma trichopodum","DC.","possibly_ok","Melastomataceae","Pleroma trichopodum","DC.","species","name accepted","bfo-603053",,,"Pleroma trichopodum DC.","Pleroma","Melastomataceae","Pleroma trichopodum",1347875,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15929","5","T. Malaquias; E. Malaquias",,,"2023","10","22",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.258056","-46.555556",,"-24.258056","-46.555556",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Ocotea lobbii","Lauraceae","Ocotea",,"(Meisn.) Rohwer",,,,,,"03","2024",,,,,,,,"HUSC015929","Splink","HUSC",,"Malaquias, T.","5","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Ocotea lobbii","(Meisn.) Rohwer","possibly_ok","Lauraceae","Ocotea lobbii","(Meisn.) Rohwer","species","name accepted","bfo-8469",,,"Ocotea lobbii (Meisn.) Rohwer","Ocotea","Lauraceae","Ocotea lobbii",1345398,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15939","15","T. Malaquias; E. Malaquias",,,"2023","10","22",,,,"Brasil",,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,"-24.256667","-46.551111",,"-24.256667","-46.551111",,"P.S.P. Sampaio; T. Malaquias","2024-03-NA",,"Nectandra grandiflora","Lauraceae","Nectandra",,"Nees & Mart. ex Nees",,,,,,"03","2024",,,,,,,,"HUSC015939","Splink","HUSC",,"Malaquias, T.","15","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","Nectandra grandiflora","Nees & Mart","possibly_ok","Lauraceae","Nectandra grandiflora","Nees & Mart","species","author misspelled","bfo-8428",,,"Nectandra grandiflora Nees & Mart","Nectandra","Lauraceae","Nectandra grandiflora",1347576,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.75901349,-46.02990871,"coord_gazet","seconds","low","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
