"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19065","90","Ferreira, M.H.",,,"2015","08","25",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa EERP da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.",,,"Mutisia coccinea","Asteraceae","Mutisia",,"A.St.-Hil.",,,,,,,,,,,,,,,"SPFR019065","Splink","SPFR",,"Ferreira, M.H.","90","2015","Ferreira, P.L.",,,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Mutisia coccinea","A.St.-Hil.","possibly_ok","Asteraceae","Mutisia coccinea","A.St.-Hil.","species","name accepted","bfo-104873",,,"Mutisia coccinea A.St.-Hil.","Mutisia","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Mutisia coccinea",915658,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"237",,"UFU","HUFU",,,"87633","182","Ferreira, M.H.",,,"2015","02","27",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto, Estrada que leva à captação de água.",,,"-21.216667","-47.85",,"-21.216667","-47.85",,"Nakajima, J.N.","2025-02-NA",,"Jaegeria hirta","Asteraceae","Jaegeria",,"(Lag.) Less.",,,,,,"02","2025",,,,,,,,"HUFU00086402","Splink","HUFU",,"Ferreira, M.H.","182","2015","Nakajima, J.N.","2025",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que leva a captacao de agua","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Jaegeria hirta","(Lag.) Less.","possibly_ok","Asteraceae","Jaegeria hirta","(Lag.) Less.","species","name accepted","bfo-104617",,,"Jaegeria hirta (Lag.) Less.","Jaegeria","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Jaegeria hirta",1313799,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","18982","164","Ferreira, M.H.",,,"2015","01","22",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que divide a EERP e a APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Morales, J.F.","2016-02-NA",,"Prestonia lagoensis","Apocynaceae","Prestonia",,"(Müll.Arg.) Woodson",,,,,,"02","2016",,,,,,,,"SPFR018982","Splink","SPFR",,"Ferreira, M.H.","164","2015","Morales, J.F.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que divide a eerp e a app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Prestonia lagoensis","(Müll.Arg.) Woodson","possibly_ok","Apocynaceae","Prestonia lagoensis","(Müll.Arg.) Woodson","species","name accepted","bfo-26475",,,"Prestonia lagoensis (Müll.Arg.) Woodson","Prestonia","Apocynaceae","high","check_local.2municip.","ok_county",,,"bad_dist","full_name_match","Prestonia lagoensis",915981,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19062","191","Ferreira, M.H.",,,"2015","08","25",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa a EERP da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.","2016-02-NA",,"Chromolaena maximiliani","Asteraceae","Chromolaena",,"(Schrad. ex DC.) R.M.King & H.Rob.",,,,,,"02","2016",,,,,,,,"SPFR019062","Splink","SPFR",,"Ferreira, M.H.","191","2015","Ferreira, P.L.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Chromolaena maximiliani","(Schrad. ex DC.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Chromolaena maximiliani","(Schrad. ex DC.) R.M.King & H.Rob.","species","name accepted","bfo-26972",,,"Chromolaena maximiliani (Schrad. ex DC.) R.M.King & H.Rob.","Chromolaena","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Chromolaena maximiliani",917652,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19094","170","Ferreira, M.H.",,,"2015","02","05",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Klein, V.L.G.","2015-NA-NA",,"Wilbrandia hibiscoides","Cucurbitaceae","Wilbrandia",,"Silva Manso",,,,,,,"2015",,,,,,,,"SPFR019094","Splink","SPFR",,"Ferreira, M.H.","170","2015","Klein, V.L.G.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Wilbrandia hibiscoides","Silva Manso","possibly_ok","Cucurbitaceae","Wilbrandia hibiscoides","Silva Manso","species","name accepted","bfo-28472",,,"Wilbrandia hibiscoides Silva Manso","Wilbrandia","Cucurbitaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Wilbrandia hibiscoides",905846,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19074","177","Ferreira, M.H.",,,"2015","02","27",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que leva à captação de água",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Zuntini, A.R.","2015-12-NA",,"Stizophyllum perforatum","Bignoniaceae","Stizophyllum",,"(Cham.) Miers",,,,,,"12","2015",,,,,,,,"SPFR019074","Splink","SPFR",,"Ferreira, M.H.","177","2015","Zuntini, A.R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que leva a captacao de agua","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Stizophyllum perforatum","(Cham.) Miers","possibly_ok","Bignoniaceae","Stizophyllum perforatum","(Cham.) Miers","species","name accepted","bfo-113931",,,"Stizophyllum perforatum (Cham.) Miers","Stizophyllum","Bignoniaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Stizophyllum perforatum",916364,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19079","166","Ferreira, M.H.",,,"2015","02","05",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Zuntini, A.R.","2015-12-NA",,"Cuspidaria cf. convoluta","Bignoniaceae","Cuspidaria",,"(Vell.) A.H.Gentry",,,,,,"12","2015",,,,,,,,"SPFR019079","Splink","SPFR",,"Ferreira, M.H.","166","2015","Zuntini, A.R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Cuspidaria convoluta","(Vell.) A.H.Gentry","conferre","Bignoniaceae","Cuspidaria convoluta","(Vell.) A.H.Gentry","species","name accepted","bfo-113216",,,"Cuspidaria convoluta (Vell.) A.H.Gentry","Cuspidaria","Bignoniaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Cuspidaria convoluta",904520,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","17560","259","Ferreira, M.H.",,,"2015","08","25",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa a EERP da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Camargo, R.","2015-05-07",,"Centrosema sagittatum","Fabaceae","Centrosema",,"(Humb. & Bonpl. ex Willd.) Brandegee",,,,,"07","05","2015",,,,,,,,"SPFR017560","Splink","SPFR",,"Ferreira, M.H.","259","2015","Camargo, R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Centrosema sagittatum","(Humb. & Bonpl. ex Willd.) Brandegee","possibly_ok","Fabaceae","Centrosema sagittatum","(Humb. & Bonpl. ex Willd.) Brandegee","species","name accepted","bfo-18271",,,"Centrosema sagittatum (Humb. & Bonpl. ex Willd.) Brandegee","Centrosema","Fabaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Centrosema sagittatum",917606,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19083","199","Ferreira, M.H.",,,"2015","05","13",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa a estação ecológica da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Zuntini, A.R.","2015-12-NA",,"Adenocalymma bracteatum","Bignoniaceae","Adenocalymma",,"(Cham.) DC.",,,,,,"12","2015",,,,,,,,"SPFR019083","Splink","SPFR",,"Ferreira, M.H.","199","2015","Zuntini, A.R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a estacao ecologica da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Adenocalymma bracteatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma bracteatum","(Cham.) DC.","species","name accepted","bfo-112322",,,"Adenocalymma bracteatum (Cham.) DC.","Adenocalymma","Bignoniaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Adenocalymma bracteatum",868207,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","18325","185","Ferreira, M.H.",,,"2015","08","25",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa a EERP e a APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Camargo, R.","2014-10-29",,"Machaerium ternatum","Fabaceae","Machaerium",,"Kuhlm. & Hoehne",,,,,"29","10","2014",,,,,,,,"SPFR018325","Splink","SPFR",,"Ferreira, M.H.","185","2015","Camargo, R.","2014",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a eerp e a app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Machaerium ternatum","Kuhlm. & Hoehne","possibly_ok","Fabaceae","Machaerium ternatum","Kuhlm. & Hoehne","species","name accepted","bfo-101151",,,"Machaerium ternatum Kuhlm. & Hoehne","Machaerium","Fabaceae","high","check_local.2municip.","ok_county",,,"bad_dist","full_name_match","Machaerium ternatum",905314,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19165","138","Ferreira, M.H.",,,"2014","11","14",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada entre a EERP e a APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Lombardi, J.A.",,,"Cissus sulcicaulis","Vitaceae","Cissus",,"(Baker) Planch.",,,,,,,,,,,,,,,"SPFR019165","Splink","SPFR",,"Ferreira, M.H.","138","2014","Lombardi, J.A.",,,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada entre a eerp e a app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Cissus sulcicaulis","(Baker) Planch.","possibly_ok","Vitaceae","Cissus sulcicaulis","(Baker) Planch.","species","name accepted","bfo-15267",,,"Cissus sulcicaulis (Baker) Planch.","Cissus","Vitaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Cissus sulcicaulis",917672,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"237",,"UFU","HUFU",,,"87622","88","Ferreira, M.H.",,,"2014","08","27",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto, Estrada que separa EERP da APP.",,,"-21.216667","-47.85",,"-21.216667","-47.85",,"Nakajima, J.N.","2025-02-NA",,"Critonia megaphylla","Asteraceae","Critonia",,"(Baker) R.M. King & H.Rob.",,,,,,"02","2025",,,,,,,,"HUFU00086391","Splink","HUFU",,"Ferreira, M.H.","88","2014","Nakajima, J.N.","2025",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Critonia megaphylla","(Baker) R.M.King & H.Rob.","possibly_ok","Asteraceae","Critonia megaphylla","(Baker) R.M.King & H.Rob.","species","author misspelled","bfo-137503",,,"Critonia megaphylla (Baker) R.M.King & H.Rob.","Critonia","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Critonia megaphylla",1312790,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19059","114","Ferreira, M.H.",,,"2014","09","01",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto (Mata de Santa Teresa)",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Groppo, M.","2024-07-05",,"Hippocratea volubilis","Celastraceae","Hippocratea",,"L.",,,,,"05","07","2024",,,,,,,,"SPFR019059","Splink","SPFR",,"Ferreira, M.H.","114","2014","Groppo, M.","2024",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, mata de santa teresa","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Hippocratea volubilis","L.","possibly_ok","Celastraceae","Hippocratea volubilis","L.","species","name accepted","bfo-6745",,,"Hippocratea volubilis L.","Hippocratea","Celastraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Hippocratea volubilis",915197,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","17577","70","Ferreira, M.H.",,,"2014","06","10",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada atrás do prédio da administração da mata",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Petrongari, F.S.","2024-09-30",,"Distimake macrocalyx","Convolvulaceae","Distimake",,"(Ruiz & Pav.) A.R.Simões & Staples",,,,,"30","09","2024",,,,,,,,"SPFR017577","Splink","SPFR",,"Ferreira, M.H.","70","2014","Petrongari, F.S.","2024",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada atras do predio da administracao da mata","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","possibly_ok","Convolvulaceae","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","species","author misspelled","bfo-604876",,,"Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","Distimake","Convolvulaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Distimake macrocalyx",904678,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19066","140","Ferreira, M.H.",,,"2014","11","14",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa EERP da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.","2016-02-NA",,"Sonchus oleraceus","Asteraceae","Sonchus",,"L.",,,,,,"02","2016",,,,,,,,"SPFR019066","Splink","SPFR",,"Ferreira, M.H.","140","2014","Ferreira, P.L.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Sonchus oleraceus","L.","possibly_ok","Asteraceae","Sonchus oleraceus","L.","species","name accepted","bfo-16302",,,"Sonchus oleraceus L.","Sonchus","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","Sonchus oleraceus",905582,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","17540","75","Ferreira, M.H.",,,"2014","06","10",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Estrada que separa a EERP da APP",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.","2016-02-NA",,"Dasyphyllum lanceolatum","Asteraceae","Dasyphyllum",,"(Less.) Cabrera",,,,,,"02","2016",,,,,,,,"SPFR017540","Splink","SPFR",,"Ferreira, M.H.","75","2014","Ferreira, P.L.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a eerp da app","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Dasyphyllum lanceolatum","(Less.) Cabrera","possibly_ok","Asteraceae","Dasyphyllum lanceolatum","(Less.) Cabrera","species","name accepted","bfo-5298",,,"Dasyphyllum lanceolatum (Less.) Cabrera","Dasyphyllum","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Dasyphyllum lanceolatum",904549,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19063","28","Ferreira, M.H.",,,"2014","03","03",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.","2016-02-NA",,"Baccharis trinervis","Asteraceae","Baccharis",,"Pers.",,,,,,"02","2016",,,,,,,,"SPFR019063","Splink","SPFR",,"Ferreira, M.H.","28","2014","Ferreira, P.L.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Baccharis trinervis","Pers.","possibly_ok","Asteraceae","Baccharis trinervis","Pers.","species","name accepted","bfo-5258",,,"Baccharis trinervis Pers.","Baccharis","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Baccharis trinervis",904019,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","17543","133","Ferreira, M.H.",,,"2014","11","12",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Ferreira, P.L.","2016-02-NA",,"Acanthospermum australe","Asteraceae","Acanthospermum",,"(Loefl.) Kuntze",,,,,,"02","2016",,,,,,,,"SPFR017543","Splink","SPFR",,"Ferreira, M.H.","133","2014","Ferreira, P.L.","2016",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Acanthospermum australe","(Loefl.) Kuntze","possibly_ok","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Acanthospermum australe",903781,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","19071","139","Ferreira, M.H.",,,"2014","11","14",,,,"Brasil",,"São Paulo","Ribeirão Preto","Ribeirão Preto","Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,"-21.216667","-47.85",,"21o13'S","47o51'W",,"Zuntini, A.R.","2015-12-NA",,"Tanaecium pyramidatum","Bignoniaceae","Tanaecium",,"(Rich.) L.G.Lohmann",,,,,,"12","2015",,,,,,,,"SPFR019071","Splink","SPFR",,"Ferreira, M.H.","139","2014","Zuntini, A.R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia","estacao ecologica de ribeirao preto","locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"ibge",TRUE,-21.216667,-47.85,"coord_original","minutes","Tanaecium pyramidatum","(Rich.) L.G.Lohmann","possibly_ok","Bignoniaceae","Tanaecium pyramidatum","(Rich.) L.G.Lohmann","species","name accepted","bfo-113952",,,"Tanaecium pyramidatum (Rich.) L.G.Lohmann","Tanaecium","Bignoniaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Tanaecium pyramidatum",905675,"High","locality_exact","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO"
