"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","selectionCategory","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2022-12-03T23:12:00",,,"88",,"MO","MO",,"PreservedSpecimen",,,,"102964078","4017","Pedro L. R. de Moraes|H. van der Werff|Matheus C. Vergne|Henrique Ribeíro|Tiago A. Pontes|L. Souza|D. Soares",,,,,,,,,,,,"2014","11","19",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho.",,,,"-23.870001","-47.990002",,"27904",,,,,,,,,,"Alan R. Smith",,"2016-NA-NA",,,"Abrodictyum rigidum",,,,,,,"Plantae",,,,,"Hymenophyllaceae",,,,"Abrodictyum",,,,"rigidum",,,,,,,,,,,,,,"Abrodictyum rigidum",,,,,,,"Brazil",,,,,,,,,"(Sw.) Ebihara & Dubuisson","Splink",,,,,,"2016",,,,"MO0100607288","South America",,,,,,,,,,,,,,,,,,"MO",,"Moraes, P.L.R.","4017","2014","Smith, A.R.","2016","Werff, H.; Vergne, M.C.; Ribeiro, H.; Pontes, T.A.; Souza, L.; Soares, D.","Moraes",,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds",1519504,"High","locality_exact","ok_same_resolution","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","possibly_ok","Hymenophyllaceae","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","species","name accepted","bfo-91177",,,"Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","Abrodictyum","Hymenophyllaceae","low","Abrodictyum rigidum"
"speciesLink",,,"2025-04-07T11:00:27",,,"2",,"UNICAMP","UEC",,"S",,,,"136287","298","Kinoshita, LS; Corrêa, AM; Filho, RC; Araújo, RFC; Galvão, JC; Moraes, P",,,,,,,,,,,,"2004","10","15",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho, Trilha do açude.",,,,"-24.538889","-47.993333",,,,,,,,,,,,,,,,,"Abuta selloana",,,,,,,"Plantae","Magnoliopsida",,,,"Menispermaceae",,,,"Abuta",,,,"selloana",,,,,,,,,,,,,,"Abuta selloana",,,,,,,"Brazil",,,,,,,"-24.538889","-47.993333","Eichler","Splink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Kinoshita, L.S.","298","2004",,,"Correa, A.M.; Rc Filho; Araujo, R.F.C.; Galvao, J.C.; Moraes, P.","Kinoshita",,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-24.538889,-47.993333,"coord_original","seconds",1289587,"High","locality_exact","ok_same_resolution","Abuta selloana","Eichler","possibly_ok","Menispermaceae","Abuta selloana","Eichler","species","name accepted","bfo-19749",,,"Abuta selloana Eichler","Abuta","Menispermaceae","unknown","Abuta selloana"
"speciesLink",,,"2025-05-25T00:08:00",,,"67",,"NY","NY",,"PreservedSpecimen",,,,"00998052","574","M. Sakane",,,,,,,,,,,,"1977","05","14",,,,,,,,"São Paulo","Sete Barras Mun.","Sete Barras Mun.","Reserva Biológica Carlos Botelho",,,,"-24.144027","-47.989753",,,,,,,,,,,,,,,,,"Abutilon",,,,,,,"Plantae","Magnoliophyta",,"Malvales",,"Malvaceae",,,,"Abutilon",,,,,,,,,,,,,,,,,,"Abutilon",,,,,,,"Brazil",,,,,,,,,"Mill.","Splink",,,,,,,,,,"NY00998052","South America","sheet",,,,,,,,,,,,,,,,,"NY",,"Sakane, M.","574","1977",,,,"Sakane",,"brazil","sao paulo","sete barras","reserva biologica carlos botelho",,"locality","brazil_sao paulo_sete barras","brazil_sao paulo_sete barras",-24.27383936,-47.93513933,"county","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.144027,-47.989753,"coord_original","miliseconds",1512763,"Low","coord_original","check_local.2municip.","Abutilon","Mill.","indet","Malvaceae","Abutilon","Mill.","genus","name accepted","bfo-8974",,,"Abutilon Mill.","Abutilon","Malvaceae","unknown",
"speciesLink",,,"2024-11-25T11:20:52",,,"2",,"UNICAMP","UEC",,"S",,,,"184900","927","Morales, PLR",,,,,,,,,,,,"1994","04","23",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","parque estadual de carlos botelho",,,,"-23.870001","-47.990002",,"27904",,,,,,,,,,,,,,,"Acacia",,,,,,,"Plantae","Magnoliopsida",,,,"Fabaceae",,,,"Acacia",,,,,,,,,,,,,,,,,,"Acacia",,,,,,,"Brazil",,,,,,,"0","0",,"Splink",,,,,,,,,,"UEC107712",,,,,,,,,,,,,,,,,,,"UEC",,"Morales, P.L.R.","927","1994",,,,"Morales",,"brazil","sao paulo","sao miguel arcanjo","parque estadual de carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds",1270220,"High","locality_exact","ok_same_resolution","Acacia","Mill.","indet","Fabaceae","Acacia","Mill.","genus","name accepted","bfo-22766",,,"Acacia Mill.","Acacia","Fabaceae","unknown",
"speciesLink",,,"2025-04-07T10:45:39",,,"2",,"UNICAMP","UEC",,"S",,,,"136160","225","Kinoshita, LS; Arzolla, FARDP; Antunes, RM; Seco, RC; Galvão, JC; Moraes, PL",,,,,,,,,,,,"2004","10","13",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho, Mata Atlântica. Trilha para o Rio Taquaral.",,,,"-24.402778","-48",,,,,,,,,,,,"Fernandes, UG",,"2017-05-04",,,"Acanthaceae",,,,,,,"Plantae","Magnoliopsida",,,,"Acanthaceae",,,,,,,,,,,,,,,,,,,,,,"Acanthaceae",,,,,,,"Brazil",,,,,,,"-24.402778","-48",,"Splink","04",,,"05",,"2017",,,,"UEC097191",,,,,,,,,,,,,,,,,,,"UEC",,"Kinoshita, L.S.","225","2004","Fernandes, U.G.","2017","Arzolla, F.A.R.D.P.; Antunes, R.M.; Seco, R.C.; Galvao, J.C.; Moraes, P.L.","Kinoshita",,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho, mata atlantica",,"locality","brazil_sao paulo_sao miguel arcanjo","brazil_sao paulo_sao miguel arcanjo",-23.91400186,-47.99357506,"county","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-24.402778,-48,"coord_original","seconds",1270346,"High","locality_exact","check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","low",
"user",,,,,,,,"ESA","ESA",,,,,,"ESA080031","351","Savassi, A.P.",,,,,,,,,,,,"2002","23","04",,,,,,,,"São Paulo",,"São Miguel Arcanjo","Parque Estadual de Carlos Botelho, Núcleo S.M.Arcanjo. Floresta Estacional Semidecidual/ Floresta Ombrófila Densa Montana. Trilha do Rio Taquaral.",,,,"-240358","-475956",,,,,,,,,,,"não","Sem determinador",,,,,"Achyrocline alata",,,,,,,,,,,,"Asteraceae",,,,"Achyrocline",,,,,,,"species",,,,,,,,,"alata",,"Achyrocline alata (Kunth) DC.",,,,,,,"Brasil",,,,,,,"240358º 0' 0"""" S","475956º 0' 0"""" W","(Kunth) DC.","Reflora",,,,,,,,,,,,,,,,"ESA",,,,"Forster, W.,Ivanauskas, N.M.,Rodrigues, R.R.,Souza, V.C.,Tamashiro, J.Y.,Duarte, A.R.,Franco, G.C.,Campos, L.M.,Arango, B.,Silva, F.D.","04/23/2002",,,"METRO",,,,,"ESA",,"Savassi, A.P.","351","2002","Determinador, S.",,,"Savassi",,"brazil","sao paulo","sao miguel arcanjo","parque estadual de carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",FALSE,-24.068723,-47.971617,"coord_gazet","seconds",1690706,"High","locality_exact","ok_same_resolution","Achyrocline alata","(Kunth) DC.","name_w_authors","Asteraceae","Achyrocline alata","(Kunth) DC.","species","name accepted","bfo-102955",,,"Achyrocline alata (Kunth) DC.","Achyrocline","Asteraceae","high","Achyrocline alata"
"speciesLink",,,"2015-07-02T14:42:08",,,"281",,"JBP","HPL",,"S",,,,"5129","1054","R. Tsuji",,,,,,,,,,,,"2005","09","16",,,,,,,,"SP","São Miguel Arcanjo","São Miguel Arcanjo","Coletado no Parque Estadual de Carlos Botelho, em borda de mata.",,,,"-23.87","-47.99",,"27904",,,,,,,,,,"V.C. Souza",,"2011-02-09",,,"Achyrocline satureioides",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Achyrocline",,,,"satureioides",,,,,,,,,,,,,,"Achyrocline satureioides",,,,,,,"Brasil",,,,,,,,,"(Lam.) DC.","Splink","09",,,"02",,"2011",,,,"HPL005129",,,,,,,,,,,,,,,,,,,"HPL",,"Tsuji, R.","1054","2005","Souza, V.C.","2011",,"Tsuji",,"brazil","sao paulo","sao miguel arcanjo","coletado no parque estadual de carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo","brazil_sao paulo_sao miguel arcanjo",-23.91400186,-47.99357506,"county","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.87,-47.99,"coord_original","miliseconds",1595301,"High","locality_exact","check_local.2municip.","Achyrocline satureioides","(Lam.) DC.","possibly_ok","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","name accepted","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","medium","Achyrocline satureioides"
"speciesLink",,,"2024-08-06T09:12:42",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"38326","682","T.B.Breier & V.A.O.Dittrich",,,,,,,,,,,,"2002","09","27",,,,,,,,"SP","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho - Núcleo Sete Barras",,,,"-24.169444","-47.931944",,,,,,,,,,,,"T.B.Breier",,"2003-04-30",,,"Pleurothallis auriculata",,,,,,,"Plantae","Magnoliophyta","Liliopsida","Orchidales",,"Orchidaceae",,,,"Pleurothallis",,,,"auriculata",,,,,,,,,,,,,,"Pleurothallis auriculata",,,,,,,"Brasil",,,,,,,,,"Lindl.","Splink","30",,,"04",,"2003",,,,"SPSF00038326","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Breier, T.B.","682","2002","Breier, T.B.","2003","Dittrich, V.A.O.","Breier",,"brazil","sao paulo","sete barras","parque estadual carlos botelho - nucleo sete barras",,"locality","brazil_sao paulo_sete barras","brazil_sao paulo_sete barras",-24.27383936,-47.93513933,"county","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.169444,-47.931944,"coord_original","seconds",973739,"High","locality_exact","check_local.2municip.","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","possibly_ok","Orchidaceae","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","species","replaced synonym","bfo-10993","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","Acianthera auriculata (Lindl.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","low","Acianthera auriculata"
"gbif","5.38078229468339e-315",,"2023-03-09 11:24:46",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/139984","139984","500","Breier, TB; Budke, JC",,,,,"PRESENT",,,,,,"2002-08-20","2002","8","20",,,,,,,"BR","São Paulo",,"Sete Barras","Parque Estadual Carlos Botelho, Parcelas permanentes.",,,,"-24.166667","-47.916667",,,,,,,,,,,,"Breier, TB",,"2004-09-01",,,"Pleurothallis saundersiana Rchb.f.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Asparagales",,"Orchidaceae",,,,"Acianthera","Pleurothallis",,,"saundersiana",,,"species",,"SYNONYM",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,"Acianthera saundersiana","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","Pleurothallis saundersiana Rchb.f.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/UEC001726","Brazil",,,,,"WGS84",,,,"Rchb.f.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","500","2002","Breier, T.B.","2004","Budke, J.C.","Breier",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.166667,-47.916667,"coord_original","minutes",95653,"High","locality_exact","ok_same_resolution","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","name_w_authors","Orchidaceae","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","species","replaced synonym","bfo-11051","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","low","Acianthera saundersiana"
"gbif","5.3807821118791e-315",,"2023-03-09 11:24:46",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/139980","139980","561","Breier, TB; Budke, JC",,,,,"PRESENT",,,,,,"2002-08-24","2002","8","24",,,,,,,"BR","São Paulo",,"Sete Barras","Parque Estadual Carlos Botelho, Ponte sobre o Rio Negro.",,,,"-24.166667","-47.916667",,,,,,,,,,,,"Breier, TB",,"2004-09-01",,,"Pleurothallis serpentula Barb.Rodr.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Asparagales",,"Orchidaceae",,,,"Acianthera","Pleurothallis",,,"serpentula",,,"species",,"SYNONYM",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,"Acianthera serpentula","Acianthera serpentula (Barb.Rodr.) F.Barros","Pleurothallis serpentula Barb.Rodr.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC001708","Brazil",,,,,"WGS84",,,,"Barb.Rodr.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","561","2002","Breier, T.B.","2004","Budke, J.C.","Breier",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.166667,-47.916667,"coord_original","minutes",95621,"High","locality_exact","ok_same_resolution","Acianthera serpentula","(Barb.Rodr.) F.Barros","name_w_authors","Orchidaceae","Acianthera serpentula","(Barb.Rodr.) F.Barros","species","replaced synonym","bfo-11053","Acianthera serpentula","(Barb.Rodr.) F.Barros","Acianthera serpentula (Barb.Rodr.) F.Barros","Acianthera","Orchidaceae","low","Acianthera serpentula"
"speciesLink",,,"2025-04-07T10:58:22",,,"2",,"UNICAMP","UEC",,"S",,,,"128258","314","Savassi, APG; et al.",,,,,,,,,,,,"2002","04","23",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual de Carlos Botelho, Núcleo S.M.Arcanjo.",,,,"-24.0575","-47.995278",,,,,,,,,,,,"Martins, AB",,"2003-04-NA",,,"Aciotis paludosa",,,,,,,"Plantae","Magnoliopsida",,,,"Melastomataceae",,,,"Aciotis",,,,"paludosa",,,,,,,,,,,,,,"Aciotis paludosa",,,,,,,"Brazil",,,,,,,"-24.0575","-47.995278","(Mart. ex A.DC.) Triana","Splink",,,,"04",,"2003",,,,"UEC004680",,,,,,,,,,,,,,,,,,,"UEC",,"Savassi, A.P.G.","314","2002","Martins, A.B.","2003",,"Savassi",,"brazil","sao paulo","sao miguel arcanjo","parque estadual de carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-24.0575,-47.995278,"coord_original","miliseconds",1270481,"High","locality_exact","ok_same_resolution","Aciotis paludosa","(Mart. ex DC.) Triana","possibly_ok","Melastomataceae","Aciotis paludosa","(Mart. ex DC.) Triana","species","author misspelled","bfo-9392",,,"Aciotis paludosa (Mart. ex DC.) Triana","Aciotis","Melastomataceae","high","Aciotis paludosa"
"speciesLink",,,"2025-06-01T12:01:46",,,"371",,"IRATI","IRATI",,"PreservedSpecimen",,,,"2254","6190","Ivanauskas, N.M.",,,,,,,,,,,,"2006","08","31",,,,,,,,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho.",,,,"-23.870001","-47.990002",,"27904",,,,,,,,,,"Garcia, C.A.",,"2009-6-30",,,"Actinocladum verticillatum",,,,,,,"Plantae",,,,,"Poaceae",,,,"Actinocladum",,,,"verticillatum",,,,,,,,,,,,,,"Actinocladum verticillatum",,,,,,,"Brasil",,,,,,,,,"(Nees) McClure ex Soderstr.","Splink","30",,,"6",,"2009",,,,"IRATI00002254",,,,,,,,,,,,,,,,,,,"IRATI","code not found","Ivanauskas, N.M.","6190","2006","Garcia, C.A.","2009",,"Ivanauskas",,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds",1050120,"High","locality_exact","ok_same_resolution","Actinocladum verticillatum","(Nees) McClure ex Soderstr.","possibly_ok","Poaceae","Actinocladum verticillatum","(Nees) McClure ex Soderstr.","species","name accepted","bfo-20327",,,"Actinocladum verticillatum (Nees) McClure ex Soderstr.","Actinocladum","Poaceae","low","Actinocladum verticillatum"
"speciesLink",,,"2024-08-06T09:15:06",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"37280","6229","M.T.Z.Toniato & R.T.Polisel & D.Souza & K. Pisciota & C.O.da Silva & N.O.da Silva",,,,,,,,,,,,"2006","09","05",,,,,,,,"SP","Sete Barras","Sete Barras",,,,,"-24.206944","-47.956389",,,,,,,,,,,,"G.A.D.C.Franco",,,,,"Actinostemon concolor",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales",,"Euphorbiaceae",,,,"Actinostemon",,,,"concolor",,,,,,,,,,,,,,"Actinostemon concolor",,,,,,,"Brasil","86","86",,,,,,,"((Spreng.)) Müll.Arg.","Splink",,,,,,,,,,"SPSF00037280","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Toniato, M.T.Z.","6229","2006","Franco, G.A.D.C.",,"Polisel, R.T.; Souza, D.; Pisciota, K.; Silva, C.O.; Silva, N.O.","Toniato",,"brazil","sao paulo","sete barras",,,"municipality","brazil_sao paulo_sete barras","brazil_sao paulo_sete barras",-24.27383936,-47.93513933,"county","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.206944,-47.956389,"coord_original","seconds",988792,"Low","coord_original","ok_same_resolution","Actinostemon concolor","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Actinostemon concolor","(Spreng.) Müll.Arg.","species","author misspelled","bfo-17448",,,"Actinostemon concolor (Spreng.) Müll.Arg.","Actinostemon","Euphorbiaceae","medium","Actinostemon concolor"
"speciesLink",,,"2025-02-04T07:59:35",,,"15",,"UNESP-RC","HRCB",,"PreservedSpecimen",,,,"40806","2593","Udulutsch, R.G.",,,,,,,,,,,,"2004","08","07",,,,,,,,"São Paulo","Sete Barras","Sete Barras","Rodovia que liga a cidade ao Parque Estadual de Carlos Botelho",,,,"-24.379999","-47.919998",,"34059",,,,,,,,,,"Udulutsch, R.G.",,,,,"Adenocalymma hatschbachii",,,,,,,"Plantae",,,,,"Bignoniaceae",,,,"Adenocalymma",,,,"hatschbachii",,,,,,,,,,,,,,"Adenocalymma hatschbachii",,,,,,,"Brasil",,,,,,,,,"A.H.Gentry","Splink",,,,,,,,,,"HRCB040806",,,,,,,,,,,,,,,,,,,"HRCB",,"Udulutsch, R.G.","2593","2004","Udulutsch, R.G.",,,"Udulutsch",,"brazil","sao paulo","sete barras","rodovia que liga a cidade ao parque estadual de carlos botelho",,"locality","brazil_sao paulo_sete barras","brazil_sao paulo_sete barras",-24.27383936,-47.93513933,"county","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds",1142706,"High","locality_exact","check_local.2municip.","Adenocalymma hatschbachii","A.H.Gentry","possibly_ok","Bignoniaceae","Adenocalymma hatschbachii","A.H.Gentry","species","name accepted","bfo-112364",,,"Adenocalymma hatschbachii A.H.Gentry","Adenocalymma","Bignoniaceae","high","Adenocalymma hatschbachii"
"gbif","1.24556997306361e-314",,"2023-12-20 15:56:07",,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/7/232725","232725","353","Fonseca, LHM",,,,,"PRESENT",,,,,,"2014-10-09","2014","10","9",,,,,,,"BR","São Paulo",,"São Miguel Arcanjo","Estrada para o Parque Estadual Carlos Botelho. Próximo da ponte.",,,,"-23.923333","-48.024278",,,,,,,,,,,,"Fonseca, LHM",,"2014-10-09",,,"Adenocalymma paulistarum Bureau ex K.Schum.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Bignoniaceae",,,,"Adenocalymma","Adenocalymma",,,"paulistarum",,,"species",,"ACCEPTED",,"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3",,,TRUE,FALSE,"Adenocalymma paulistarum","Adenocalymma paulistarum Bureau ex K.Schum.","Adenocalymma paulistarum Bureau ex K.Schum.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/SPF00232725","Brasil","63","63",,,"WGS84",,,,"Bureau ex K.Schum.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SPF","code not found","Fonseca, L.H.M.","353","2014","Fonseca, L.H.M.","2014",,"Fonseca",,"brazil","sao paulo","sao miguel arcanjo","estrada para o parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo","brazil_sao paulo_sao miguel arcanjo",-23.91400186,-47.99357506,"county","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.923333,-48.024278,"coord_original","seconds",502277,"High","locality_exact","check_local.2municip.","Adenocalymma paulistarum","Bureau & K.Schum.","name_w_authors","Bignoniaceae","Adenocalymma paulistarum","Bureau & K.Schum.","species","author misspelled","bfo-112407",,,"Adenocalymma paulistarum Bureau & K.Schum.","Adenocalymma","Bignoniaceae","low","Adenocalymma paulistarum"
