"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"733",,"UFES","CAP",,"PRESERVED_SPECIMEN","7297","486","D.R. Gonzaga",,,"2015","02","15",,,,"Brasil",,"São Paulo","Lavrinhas","Lavrinhas","Serra Fina, Pico do Capim Amarelo. APA Serra da Mantiqueira",,,"-22.4330556","-44.8888889",,"22º25'59''S","44º53'20''W",,"M.F. Freitas","2015-7-28",,"Myrsine gardneriana","Primulaceae","Myrsine",,"A.DC.",,,,,"28","7","2015",,,,,,,,"CAP007297","Splink","CAP","code not found","Gonzaga, D.R.","486","2015","Freitas, M.F.","2015",,"Gonzaga",,"brazil","sao paulo","lavrinhas","serra fina",,"locality","brazil_sao paulo_lavrinhas","brazil_sao paulo_lavrinhas",-22.52014474,-44.8887858,"county","Myrsine gardneriana","A.DC.","possibly_ok","Primulaceae","Myrsine gardneriana","A.DC.","species","name accepted","bfo-10230",,,"Myrsine gardneriana A.DC.","Myrsine","Primulaceae","Myrsine gardneriana",953169,"brazil_sao paulo_lavrinhas","Brazil","São Paulo","Lavrinhas",,"ibge","high",TRUE,-22.433056,-44.888889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","CAP_7297","CAP_7297|RB_940091","3","0.75","RB_940091","RB_940091","RB_940091","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5445309",,,"HUNI","HUNI",,"PRESERVED_SPECIMEN","HUNI00004995","1492","D.M. Carmo;D.F. Peralta,A.M. Souza,E.L. dos Santos,B. Natali",,"2016-08-13","2016","8","13","2016-8-13",,,"Brasil","BR","São Paulo",,"Piquete","Morro dos Marins. Área de Proteção Ambiental Serra da Mantiqueira (APA da Serra da Mantiqueira)",,,"-22.495556","-45.122778",,,,,"D.M. Carmo",,,"Campylopus jamesonii (Hook.) A.Jaeger","Leucobryaceae","Campylopus","species","(Hook.) A.Jaeger","ACCEPTED",,,"Campylopus jamesonii (Hook.) A.Jaeger",,,,"Campylopus jamesonii (Hook.) A.Jaeger","Campylopus jamesonii",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huni/huni/0/0/49/95/huni00004995-3.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huni/huni/0/0/49/95/huni00004995-2.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huni/huni/0/0/49/95/huni00004995-1.dzi",,,,"GBIF","HUNI",,"Carmo, D.M.","1492","2016","Carmo, D.M.","2016","Peralta, D.F.; Souza, A.M.; Santos, E.L.; Natali, B.","Carmo",,"brazil","sao paulo","piquete","morro dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Campylopus jamesonii","(Hook.) A.Jaeger","name_w_authors",,"Campylopus jamesonii","(Hook.) A.Jaeger","species","not found",,,,"Campylopus jamesonii (Hook.) A.Jaeger","Campylopus","Burmanniaceae","Campylopus jamesonii",1491484,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.495556,-45.122778,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","no_match","HUNI_4995","HUNI_4995[virtual]","4","1","HUNI_4995","HUNI_4995","HUNI_4995","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00974717","511","D.R.Gonzaga; T.E.C.Meneguzzo; M.Nadruz & J.F.A.Bawngratz",,"2015-04-01","2015","4","1",,,,"Brasil","BR","São Paulo",,"Lavrinhas","Serra Fina - Trilha para o Pico do Capim Amarelo. Apa Serra da Mantiqueira",,,"-22.454444","-44.904167",,"22º27´16´´","44º54´15´´W",,"M.F. Calió","2016-07-22",,"Calolisianthus pendulus (Mart.) Gilg","Gentianaceae","Calolisianthus","species","(Mart.) Gilg","ACCEPTED",,,"Calolisianthus pendulus (Mart.) Gilg",,,,"Calolisianthus pendulus (Mart.) Gilg","Calolisianthus pendulus",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/97/47/17/00974717.jpg",,,,"GBIF","RB",,"Gonzaga, D.R.","511","2015","Calio, M.F.","2016","Meneguzzo, T.E.C.; Nadruz, M.; Bawngratz, J.F.A.","Gonzaga",,"brazil","sao paulo","lavrinhas","serra fina",,"locality","brazil_sao paulo_lavrinhas","brazil_sao paulo_lavrinhas",-22.52014474,-44.8887858,"county","Calolisianthus pendulus","(Mart.) Gilg","name_w_authors","Gentianaceae","Calolisianthus pendulus","(Mart.) Gilg","species","name accepted","bfo-7749",,,"Calolisianthus pendulus (Mart.) Gilg","Calolisianthus","Gentianaceae","Calolisianthus pendulus",261124,"brazil_sao paulo_lavrinhas","Brazil","São Paulo","Lavrinhas",,"ibge","high",TRUE,-22.454444,-44.904167,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_974717","RB_974717[virtual]","2","0.5","RB_974717","RB_974717","RB_974717","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/237",,"UFU","HUFU",,"PRESERVED_SPECIMEN","71734","208","Gonçalves, L.N.; Duffles P.; Fernandez, E. & Lima, T.",,"2013-09-05","2013","9","5",,,,"Brasil","BR","São Paulo",,"Piquete","APA Serra da Mantiqueira, Pico dos Marins, Morro do Careca.",,,"-22.511111","-45.137778",,,,,"Guimarães, E.F.",,,"Senecio brasiliensis (Spreng.) Less.","Asteraceae","Senecio","species","(Spreng.) Less.","ACCEPTED",,,"Senecio brasiliensis (Spreng.) Less.",,,,"Senecio brasiliensis","Senecio brasiliensis",,"WGS84","https://images.cria.org.br/viewer/HUFU00041004",,,,"GBIF","HUFU",,"Goncalves, L.N.","208","2013",,,"Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","apa serra da mantiqueira",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Senecio brasiliensis","(Spreng.) Less.","name_w_authors","Asteraceae","Senecio brasiliensis","(Spreng.) Less.","species","name accepted","bfo-27354",,,"Senecio brasiliensis (Spreng.) Less.","Senecio","Asteraceae","Senecio brasiliensis",219394,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.511111,-45.137778,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFU_71734","HUFU_41004|HUFU_71734|RB_844981","4","1",,"HUFU_71734","HUFU_71734","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00809237","80","Eduardo P. Fernandez; Thalis Lima, Lucas Nogueira e Patrícia Duffles",,"2013-09-05","2013","9","5",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG), Serra da Mantiqueira; Floresta Ombrófila Densa entre Acampamento-Base do Pico dos Marins e local de estacionamento antes da subida ao Morro do Careca.",,,"-22.508611","-45.149444",,"22º30´31´´","45º8´58´´W",,"Elsie F. Guimarães",,,"Piper gaudichaudianum Kunth","Piperaceae","Piper","species","Kunth","DOUBTFUL",,,"Piper gaudichaudianum Kunth",,,,"Piper gaudichaudianum Kunth","Piper gaudichaudianum",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/92/37/00809237.jpg",,,,"GBIF","RB",,"Fernandez, E.P.","80","2013",,,"Lima, L.N.T.; Duffles, P.","Fernandez",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Piper gaudichaudianum","Kunth","name_w_authors","Piperaceae","Piper gaudichaudianum","Kunth","species","name accepted","bfo-12780",,,"Piper gaudichaudianum Kunth","Piper","Piperaceae","Piper gaudichaudianum",258257,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.508611,-45.149444,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_809237","NY_3044823|RB_809237","1","0.25",,"RB_809237","RB_809237","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00809195","38","Eduardo P. Fernandez; Thalis Lima, Lucas Nogueira e Patrícia Duffles",,"2013-09-03","2013","9","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha de p/ o cume do Morro do Careca, entre os municípios de Piquete e Marmelópolis (MG).",,,"-22.501944","-45.14",,"22º30´7´´","45º8´24´´W",,"M. Sobral",,,"Myrcia montana Cambess.","Myrtaceae","Myrcia","species","Cambess.","ACCEPTED",,,"Myrcia montana Cambess.",,,,"Myrcia montana Cambess.","Myrcia montana",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/91/95/00809195.jpg",,,,"GBIF","RB",,"Fernandez, E.P.","38","2013",,,"Lima, L.N.T.; Duffles, P.","Fernandez",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Myrcia montana","Cambess.","name_w_authors","Myrtaceae","Myrcia montana","Cambess.","species","name accepted","bfo-10728",,,"Myrcia montana Cambess.","Myrcia","Myrtaceae","Myrcia montana",258234,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.501944,-45.14,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"bad_dist","full_name_match","RB_809195","RB_809195[virtual]","1","0.25",,"RB_809195","RB_809195","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00844906","133","L. N. Gonçalves; P. Duffles; E. Fernandez; T. Lima",,"2013-09-06","2013","9","6",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha entre o acampamento do 1º mirante e bifurcação p/ trilha da cruz de ferro.",,,"-22.498611","-45.132222",,"22º29´55´´","45º7´56´´W",,"M. Sobral",,,"Myrcia hartwegiana (O.Berg) Kiaersk.","Myrtaceae","Myrcia","species","(O.Berg) Kiaersk.","ACCEPTED",,,"Myrcia hartwegiana (O.Berg) Kiaersk.",,,,"Myrcia hartwegiana (O.Berg) Kiaersk.","Myrcia hartwegiana",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/6/00844906.jpg",,,,"GBIF","RB",,"Goncalves, L.N.","133","2013",,,"Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Myrcia hartwegiana","(O.Berg) Kiaersk.","name_w_authors","Myrtaceae","Myrcia hartwegiana","(O.Berg) Kiaersk.","species","name accepted","bfo-10700",,,"Myrcia hartwegiana (O.Berg) Kiaersk.","Myrcia","Myrtaceae","Myrcia hartwegiana",259164,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.498611,-45.132222,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","RB_844906","RB_844906[virtual]","3","0.75",,"RB_844906","RB_844906","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00809231","74","Eduardo P. Fernandez; Thalis Lima, Lucas Nogueira e Patrícia Duffles",,"2013-09-05","2013","9","5",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG), Serra da Mantiqueira; Florestas e Matas Nebulares do cume do Morro do Careca, entre a área de acampamento e a nascente.",,,"-22.501944","-45.14",,"22º30´7´´","45º8´24´´W",,"M. Sobral",,,"Myrcia guianensis (Aubl.) DC.","Myrtaceae","Myrcia","species","(Aubl.) DC.","ACCEPTED",,,"Myrcia guianensis (Aubl.) DC.",,,,"Myrcia guianensis (Aubl.) DC.","Myrcia guianensis",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/92/31/00809231.jpg",,,,"GBIF","RB",,"Fernandez, E.P.","74","2013",,,"Lima, L.N.T.; Duffles, P.","Fernandez",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Myrcia guianensis","(Aubl.) DC.","name_w_authors","Myrtaceae","Myrcia guianensis","(Aubl.) DC.","species","name accepted","bfo-10699",,,"Myrcia guianensis (Aubl.) DC.","Myrcia","Myrtaceae","Myrcia guianensis",258245,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.501944,-45.14,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","RB_809231","RB_809231[virtual]","1","0.25",,"RB_809231","RB_809231","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/237",,"UFU","HUFU",,"PRESERVED_SPECIMEN","71737","222","Gonçalves, L.N.; Duffles P.; Fernandez, E. & Lima, T.",,"2013-09-05","2013","9","5",,,,"Brasil","BR","São Paulo",,"Piquete","APA Serra da Mantiqueira, Pico dos Marins. Estrada para o Morro do Careca.",,,"-22.505556","-45.142222",,,,,"Guimarães, E.F.",,,"Eremanthus erythropappus (DC.) MacLeish","Asteraceae","Eremanthus","species","(DC.) MacLeish","SYNONYM",,,"Eremanthus erythropappus (DC.) Mac Leish",,,,"Eremanthus erythropappus","Eremanthus erythropappus",,"WGS84","https://images.cria.org.br/viewer/HUFU00041001",,,,"GBIF","HUFU",,"Goncalves, L.N.","222","2013",,,"Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","estrada para o morro do careca","apa serra da mantiqueira","locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Eremanthus erythropappus","(DC.) MacLeish","name_w_authors","Asteraceae","Eremanthus erythropappus","(DC.) MacLeish","species","name accepted","bfo-5315",,,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus","Asteraceae","Eremanthus erythropappus",219391,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.505556,-45.142222,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","HUFU_71737","HUFU_41001|HUFU_71737|NY_3044822|RB_844995","4","1",,"HUFU_71737","HUFU_71737","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/237",,"UFU","HUFU",,"PRESERVED_SPECIMEN","71731","135","Gonçalves, L.N.; Duffles P.; Fernandez, E. & Lima, T.",,"2013-09-06","2013","9","6",,,,"Brasil","BR","São Paulo",,"Piquete","APA Serra da Mantiqueira, Pico dos Marins. Trilha para o 1º mirante.",,,"-22.516667","-45.136111",,,,,"Teles, A.M.","2023-11-28",,"Baccharis reticularia DC.","Asteraceae","Baccharis","species","DC.","ACCEPTED",,,"Baccharis reticularia DC.",,,,"Baccharis reticularia","Baccharis reticularia",,"WGS84","https://images.cria.org.br/viewer/HUFU00041007",,,,"GBIF","HUFU",,"Goncalves, L.N.","135","2013","Teles, A.M.","2023","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","apa serra da mantiqueira",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Baccharis reticularia","DC.","name_w_authors","Asteraceae","Baccharis reticularia","DC.","species","name accepted","bfo-5241",,,"Baccharis reticularia DC.","Baccharis","Asteraceae","Baccharis reticularia",219397,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.516667,-45.136111,"coord_original","minutes","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFU_71731","ECT_2055|HUFU_41007|HUFU_71731|RB_844908","4","1","HUFU_71731","HUFU_71731","HUFU_71731","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/45",,"UFPR","UPCB",,"PRESERVED_SPECIMEN","85767","140","Gonçalves, L.N.; Duffles, P.;Fernandez, E.;Lima, T.",,"2013-09-06","2013","9","6",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA da Serra da Mantiqueira. Trilha para o primeiro mirante.",,,"-22.501667","-45.136111",,,,,,,,"Leandra Raddi","Melastomataceae","Miconia","genus",,"SYNONYM",,,"Miconia Ruiz & Pav.",,,,"Leandra",,,,"https://images.cria.org.br/viewer/UPCB0012776",,,,"GBIF","UPCB",,"Goncalves, L.N.","140","2013","Determinador, S.","2023","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Miconia","Ruiz & Pav.","indet","Melastomataceae","Leandra","Raddi","genus","name accepted","bfo-9666",,,"Miconia Ruiz & Pav.","Miconia","Melastomataceae",,1563912,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-23.501667,-45.136111,"coord_original","seconds","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","UPCB_85767","NY_2680528|RB_844913|UPCB_12768|UPCB_12776|UPCB_85767|UPCB_85770","4","1","UPCB_12768","UPCB_12768","UPCB_12768","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00809238","81","Eduardo P. Fernandez; Thalis Lima, Lucas Nogueira e Patrícia Duffles","Floresta Ombrófila Densa entre Acampamento-Base do Pico dos Marins e local de estacionamento antes da subida ao Morro do Careca.","2013-09-05","2013","9","5",,,"Floresta Ombrófila Densa entre Acampamento-Base do Pico dos Marins e local de estacionamento antes da subida ao Morro do Careca.","Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG), Serra da Mantiqueira",,,"-22.508611","-45.149444",,"22º30´31´´","45º8´58´´W",,"E.L. Jacques","2020-10-09",,"Begonia longibarbata Brade","Begoniaceae","Begonia","species","Brade","ACCEPTED",,,"Begonia longibarbata Brade",,,,"Begonia longibarbata Brade","Begonia longibarbata",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/92/38/00809238-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/92/38/00809238.jpg",,,,"GBIF","RB",,"Fernandez, E.P.","81","2013","Jacques, E.L.","2020","Lima, L.N.T.; Duffles, P.","Fernandez",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Begonia longibarbata","Brade","name_w_authors","Begoniaceae","Begonia longibarbata","Brade","species","name accepted","bfo-5658",,,"Begonia longibarbata Brade","Begonia","Begoniaceae","Begonia longibarbata",258255,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.508611,-45.149444,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_809238","RB_809238[virtual]","1","0.25","RB_809238","RB_809238","RB_809238","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00844943","169","L.N. Gonçalves; P. Duffles; E. Fernandez & T. Lima",,"2013-09-03","2013","9","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins. Trilha de acesso ao Morro do Careca. APA da Serra da Mantiqueira",,,"-22.505556","-45.142222",,"22º30´20´´","45º8´32´´W",,"A.M. Teles & L.N. Gonçalves","2018-08-08",,"Dendrophorbium pellucidinerve (Sch.Bip. ex Baker) C.Jeffrey","Asteraceae","Dendrophorbium","species","(Sch.Bip. ex Baker) C.Jeffrey","ACCEPTED",,,"Dendrophorbium pellucidinerve (Sch.Bip. ex Baker) C.Jeffrey",,,,"Dendrophorbium pellucidinerve (Sch.Bip. ex Baker) C.Jeffrey","Dendrophorbium pellucidinerve",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/43/00844943.jpg",,,,"GBIF","RB",,"Goncalves, L.N.","169","2013","Teles, A.M.","2018","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves","Goncalves, L.N.","brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Dendrophorbium pellucidinerve","(Sch.Bip. ex Baker) C.Jeffrey","name_w_authors","Asteraceae","Dendrophorbium pellucidinerve","(Sch.Bip. ex Baker) C.Jeffrey","species","name accepted","bfo-27022",,,"Dendrophorbium pellucidinerve (Sch.Bip. ex Baker) C.Jeffrey","Dendrophorbium","Asteraceae","Dendrophorbium pellucidinerve",259187,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.505556,-45.142222,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","RB_844943","RB_844943[virtual]","4","1","RB_844943","RB_844943","RB_844943","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","221696","250","Gonçalves, L.N.",,"2013-10-03","2013","10","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o 1o. mirante.",,,"-22.501667","-45.136944",,,,,"L.P.de Queiroz","2018-10-01",,"Collaea speciosa (Loisel.) DC.","Fabaceae","Collaea","species","(Loisel.) DC.","ACCEPTED",,,"Collaea speciosa (Loisel.) DC.",,,,"Collaea speciosa","Collaea speciosa",,"WGS84","https://images.cria.org.br/viewer/HUEFS0221696",,,,"GBIF","HUEFS",,"Goncalves, L.N.","250","2013","Queiroz, L.P.","2018",,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_pico marins apa serra mantiqueira","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Collaea speciosa","(Loisel.) DC.","name_w_authors","Fabaceae","Collaea speciosa","(Loisel.) DC.","species","name accepted","bfo-29551",,,"Collaea speciosa (Loisel.) DC.","Collaea","Fabaceae","Collaea speciosa",217832,"brazil_sao paulo","Brazil","São Paulo",,,"gadm","high",TRUE,-22.501667,-45.136944,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","full_name_match","HUEFS_221696","HUEFS_221696|SPF_226174","4","1","HUEFS_221696","SPF_226174","SPF_226174","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
,,"https://specieslink.net/col/204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","221668","244","Gonçalves, L.N.",,"2013-10-03","2013","10","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins-APA Serra da Mantiqueira. Morro do careca.",,,"-22.501111","-45.137778",,,,,"L.P.Queiroz","2018-09-01",,"Camptosema scarlatinum var. pubescens (Micheli) Burkart","Fabaceae","Betencourtia","variety","(Micheli) Burkart","SYNONYM",,,"Betencourtia scarlatina (Mart. ex Benth.) L.P.Queiroz",,,,"Camptosema scarlatinum var. pubescens","Betencourtia scarlatina",,"WGS84","https://images.cria.org.br/viewer/HUEFS0221668",,,,"GBIF","HUEFS",,"Goncalves, L.N.","244","2013","Queiroz, L.P.","2018",,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins-apa serra da mantiqueira",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","Betencourtia scarlatina","(Mart. ex Benth.) L.P.Queiroz","variety|name_w_authors","Fabaceae","Betencourtia scarlatina","(Mart. ex Benth.) L.P.Queiroz","species","replaced synonym","bfo-617935","Betencourtia scarlatina","(Mart. ex Benth.) L.P.Queiroz","Betencourtia scarlatina (Mart. ex Benth.) L.P.Queiroz","Betencourtia","Fabaceae","Betencourtia scarlatina",217831,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge","high",TRUE,-22.501111,-45.137778,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","HUEFS_221668","HUEFS_221668|RB_853169|SPF_226173","3","0.75","HUEFS_221668","HUEFS_221668","HUEFS_221668","High","plantr_exact","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA"
