"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","tax.check","species.new"
"speciesLink",,,"2025-01-30T11:37:51",,,"239",,"UFG","UFG",,"PRESERVED_SPECIMEN",,,,"70737","25999","Toledo, D.V.; Bertoni, J.E.A.",,,,,,,,,,,,"1990","05","04",,,,,,,,"São Paulo","Águas da Prata","Águas da Prata","Parque Estadual Águas da Prata",,,,"-21.93","-46.709999",,"13435",,,,,,,,,,,,,,,"Trichilia elegans",,,,,,,"Plantae",,,,,"Meliaceae",,,,"Trichilia",,,,"elegans",,,,,,,,,,,,,,,,,,,,,"Brasil","0","0",,,,,"0","0","A.Juss.","Splink","PreservedSpecimen",,,,,,,,,,"UFG0070737","Southern America",,,,,,,,,,,,,,,,,,"UFG",,"Toledo, D.V.","25999","1990",,,"Bertoni, J.E.A.","Toledo",,"brazil","sao paulo","aguas da prata","parque estadual aguas da prata",,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county","brazil_sao paulo_aguas prata","Brazil","São Paulo","Águas da Prata",,"ibge","check_local.2municip.","Trichilia elegans","A.Juss.","possibly_ok","Meliaceae","Trichilia elegans","A.Juss.","species","name accepted","bfo-10003",,,"Trichilia elegans A.Juss.","Trichilia","Meliaceae",1021514,"TRUE","-21.93",-46.709999,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","unknown","Trichilia elegans"
"speciesLink",,,"2025-05-13T17:38:12",,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN",,,,"16389","583","Farache, F.H.",,,,,,,,,,,,"2017","02","22",,,,,,,,"São Paulo","Águas da Prata","Águas da Prata","Praça das águas",,,,"-21.933056","-46.715",,,,,,,,,,,,"Farache, F.H.",,,,,"Ficus eximia",,,,,,,"Plantae",,,,,"Moraceae",,,,"Ficus",,,,"eximia",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"21o55'59,72""S","46o42'54,89""W","Schott.","Splink","PreservedSpecimen",,,,,,,,,,"SPFR016389",,,,,,,,,,,,,,,,,,,"SPFR",,"Farache, F.H.","583","2017","Farache, F.H.",,,"Farache",,"brazil","sao paulo","aguas da prata","praca das aguas",,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county","brazil_sao paulo_aguas prata","Brazil","São Paulo","Águas da Prata",,"ibge","check_local.2municip.","Ficus eximia","Schott","possibly_ok","Moraceae","Ficus eximia","Schott","species","author misspelled","bfo-10161",,,"Ficus eximia Schott","Ficus","Moraceae",1091305,"TRUE","-21.933056",-46.715,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","low","Ficus eximia"
"speciesLink",,,"2025-05-13T17:37:14",,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN",,,,"5704","2221","Godoy, S.A.P.; Reato, L.R.; Saburi-Jr., W.",,,,,,,,,,,,"2000","11","26",,,,,,,,"São Paulo","Águas da Prata","Águas da Prata","Próximo a uma bica",,,,"-21.933333","-46.716667",,,,,,,,,,,,"Godoy, S.A.P.",,"2000-11-NA",,,"Siphocampylus macropodus",,,,,,,"Plantae",,,,,"Campanulaceae",,,,"Siphocampylus",,,,"macropodus",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"21o56'S","46o43'W","(Thunb.) G.Don","Splink","PreservedSpecimen",,,,"11",,"2000",,,,"SPFR005704",,,,,,,,,,,,,,,,,,,"SPFR",,"Godoy, S.A.P.","2221","2000","Godoy, S.A.P.","2000","Reato, L.R.; Saburi-, W.","Godoy",,"brazil","sao paulo","aguas da prata","proximo a uma bica",,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county","brazil_sao paulo_aguas prata","Brazil","São Paulo","Águas da Prata",,"ibge","check_local.2municip.","Siphocampylus macropodus","(Thunb.) G.Don","possibly_ok","Campanulaceae","Siphocampylus macropodus","(Thunb.) G.Don","species","name accepted","bfo-28251",,,"Siphocampylus macropodus (Thunb.) G.Don","Siphocampylus","Campanulaceae",1092070,"TRUE","-21.933333",-46.716667,"coord_original","minutes","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","low","Siphocampylus macropodus"
"gbif","2.06087927028495e-314",,"2023-08-02 04:09:24",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/174086863","174086863",,"dalvamatos",,,,,"PRESENT",,,,,,"2023-07-21T09:46:11","2023","7","21","2023-07-21 09:46:11",,,,,,"BR","São Paulo",,,"Águas da Prata, SP, 13890-000, Brasil","Águas da Prata, SP, 13890-000, Brasil",,,"-21.933531","-46.716062","6",,,,,,,,"388254534",,,"dalvamatos",,"2023-07-21 12:47:22",,"169883","Tradescantia zebrina Bosse",,,,,,,"Plantae","Tracheophyta","Liliopsida","Commelinales",,"Commelinaceae",,,,"Tradescantia","Tradescantia",,,"zebrina",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Tradescantia zebrina","Tradescantia zebrina Bosse","Tradescantia zebrina","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,,"GBIF","HUMAN_OBSERVATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Dalvamatos",,"2023","Dalvamatos","2023",,"Dalvamatos",,"brazil","sao paulo","aguas da prata","aguas da prata",,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county","brazil_sao paulo_aguas prata","Brazil","São Paulo","Águas da Prata",,"ibge","check_local.2municip.","Tradescantia zebrina","Heynh. ex Bosse","name_w_authors","Commelinaceae","Tradescantia zebrina","Heynh. ex Bosse","species","author misspelled","bfo-126861",,,"Tradescantia zebrina Heynh. ex Bosse","Tradescantia","Commelinaceae",764781,"TRUE","-21.933531",-46.716062,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","low","Tradescantia zebrina"
"gbif","2.05805511496721e-314",,"2023-07-24 19:42:50",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/174090132","174090132",,"dalvamatos",,,,,"PRESENT",,,,,,"2023-07-21T10:14:07","2023","7","21","2023-07-21 10:14:07",,,,,,"BR","São Paulo",,,"Águas da Prata, SP, 13890-000, Brasil","Águas da Prata, SP, 13890-000, Brasil",,,"-21.929468","-46.710753","4",,,,,,,,"388261945",,,"dalvamatos",,"2023-07-21 13:14:48",,"370562","Cenchrus purpureus (Schumach.) Morrone",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Poaceae",,,,"Cenchrus","Cenchrus",,,"purpureus",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Cenchrus purpureus","Cenchrus purpureus (Schumach.) Morrone","Cenchrus purpureus","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","LC",,"BR",,,,,"EPSG:4326",,,,,"GBIF","HUMAN_OBSERVATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Dalvamatos",,"2023","Dalvamatos","2023",,"Dalvamatos",,"brazil","sao paulo","aguas da prata","aguas da prata",,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county","brazil_sao paulo_aguas prata","Brazil","São Paulo","Águas da Prata",,"ibge","check_local.2municip.","Cenchrus purpureus","(Schumach.) Morrone","name_w_authors","Poaceae","Cenchrus purpureus","(Schumach.) Morrone","species","name accepted","bfo-129132",,,"Cenchrus purpureus (Schumach.) Morrone","Cenchrus","Poaceae",764238,"TRUE","-21.929468",-46.710753,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","Low","coord_original","low","Cenchrus purpureus"
