"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2024-08-28T17:10:46",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8461","1025","Martins, S.E.; Aragaki, S.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiai","Apiai","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Gomes, S.S.J.",,"2007-05-NA",,,"Begonia capanemae",,,,,,,"Plantae","Angiosperma",,,,"Begoniaceae",,,,"Begonia",,,,"capanemae",,,,,,,,,,,,,,"Begonia capanemae",,,,,,,"Brasil",,,,,,,"-24.517222","-48.835278","Brade.","Splink",,,,"05",,"2007",,,,"HUSC008461",,,,,,,,,,,,,,,,,,,"HUSC",,"Martins, S.E.","1025","2007","Gomes, S.S.J.","2007","Aragaki, S.; Peralta, D.F.","Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge",TRUE,-24.517222,-48.835278,"coord_original","seconds",1612857,"High","check_local.2municip.","Begonia capanemae","Brade","possibly_ok","Begoniaceae","Begonia capanemae","Brade","species","author misspelled","bfo-5587",,,"Begonia capanemae Brade","Begonia","Begoniaceae","low","Begonia capanemae"
"speciesLink",,,"2024-08-28T17:10:46",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8462","1026","Martins, S.E.; Aragaki, S.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiai","Apiai","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Gomes, S.S.J.",,"2007-05-NA",,,"Begonia fruticosa",,,,,,,"Plantae","Angiosperma",,,,"Begoniaceae",,,,"Begonia",,,,"fruticosa",,,,,,,,,,,,,,"Begonia fruticosa",,,,,,,"Brasil",,,,,,,"-24.517222","-48.835278","(Klostzch) A.D.C.","Splink",,,,"05",,"2007",,,,"HUSC008462",,,,,,,,,,,,,,,,,,,"HUSC",,"Martins, S.E.","1026","2007","Gomes, S.S.J.","2007","Aragaki, S.; Peralta, D.F.","Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge",TRUE,-24.517222,-48.835278,"coord_original","seconds",1612870,"High","check_local.2municip.","Begonia fruticosa","(Klotzsch) A.DC.","possibly_ok","Begoniaceae","Begonia fruticosa","(Klotzsch) A.DC.","species","author misspelled","bfo-5619",,,"Begonia fruticosa (Klotzsch) A.DC.","Begonia","Begoniaceae","low","Begonia fruticosa"
"speciesLink",,,"2021-12-09T11:02:32",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"412468","1015","Martins, SE; et al.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Martins, SE",,"2007-04-NA",,,"Billbergia amoena",,,,,,,"Plantae",,,,,"Bromeliaceae",,,,"Billbergia",,,,"amoena",,,,,,,,,,,,,,"Billbergia amoena",,,,,,,"Brasil","900","900",,,,,"-24.517222","-48.835278","(Lodd.) Lindl.","Splink",,,,"04",,"2007",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Martins, S.E.","1015","2007","Martins, S.E.","2007",,"Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge",TRUE,-24.517222,-48.835278,"coord_original","seconds",1152383,"High","check_local.2municip.","Billbergia amoena","(Lodd.) Lindl.","possibly_ok","Bromeliaceae","Billbergia amoena","(Lodd.) Lindl.","species","name accepted","bfo-5922",,,"Billbergia amoena (Lodd.) Lindl.","Billbergia","Bromeliaceae","low","Billbergia amoena"
"speciesLink",,,"2014-03-29T00:10:00",,,"728",,,"MO-DUPLICATES",,"PreservedSpecimen",,,,"90138406","1175","J.I. Puiggari",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,,,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,,"Fissidens acacioides",,,,,,,"Plantae",,,,,"Fissidentaceae",,,,"Fissidens",,,,"acacioides",,,,,,,,,,,,,,"Fissidens acacioides",,,,,,,"Brazil",,,,,,,,,"Schrad.","Splink",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Puiggari, J.I.","1175",,"Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo",,,,"stateProvince","brazil_sao paulo","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",1651757,"Low","ok_same_resolution","Fissidens acacioides","Schrad.","possibly_ok",,"Fissidens acacioides","Schrad.","species","not found",,,,"Fissidens acacioides Schrad.","Fissidens","Fabaceae","low","Fissidens acacioides"
"speciesLink",,,"2015-11-05T22:16:00",,,"728",,,"MO-DUPLICATES",,"PreservedSpecimen",,,,"90119138","1775","J.I. Puiggari",,,,,,,,,,,,"1881",,,,,,,,,,"São Paulo",,,"Apiahy",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,,"Fissidens acacioides acacioides",,,,,,,"Plantae",,,,,"Fissidentaceae",,,,"Fissidens",,,,"acacioides","acacioides",,,,,,,,,,,,,"Fissidens acacioides acacioides",,,,,,,"Brazil",,,,,,,,,,"Splink",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Puiggari, J.I.","1775","1881","Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo","apiahy","apiahy",,"locality","brazil_sao paulo_apiahy","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",1651759,"Low","check_local.2state","Fissidens acacioides acacioides",,"not_Genus_epithet_format",,"Fissidens acacioides acacioides",,"species","not found",,,,"Fissidens acacioides acacioides","Fissidens","Fabaceae","low","Fissidens acacioides acacioides"
"gbif","2.00643878348232e-314","http://www.tropicos.org/Specimen/90119138","2015-11-05 22:16:00","PhysicalObject",,"http://biocol.org/urn:lsid:biocol.org:col:15859",,,"Tropicos","Tropicos","PRESERVED_SPECIMEN",,,"urn:catalog:MO:Tropicos:90119138","90119138","1775","J.I. Puiggari",,,,,"PRESENT",,,,,,"1881","1881",,,,,,,,,"BR","São Paulo",,,"Apiahy",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,"35204127","Fissidens acacioides var. acacioides",,,,,,,"Plantae","Bryophyta","Bryopsida","Dicranales",,"Fissidentaceae",,,,"Fissidens","Fissidens",,,"acacioides","acacioides",,"variety",,"ACCEPTED",,"e053ff53-c156-4e2e-b9b5-4462e9625424",,,TRUE,FALSE,"Fissidens acacioides","Fissidens acacioides var. acacioides","Fissidens acacioides var. acacioides","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA",,,"Brazil",,,,,,,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tropicos","code not found","Puiggari, J.I.","1775","1881","Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo","apiahy","apiahy",,"locality","brazil_sao paulo_apiahy","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",756797,"Low","check_local.2state","Fissidens acacioides var. acacioides",,"variety",,"Fissidens acacioides var. acacioides",,"subspecies","not found",,,,"Fissidens acacioides var. acacioides","Fissidens","Fabaceae","low","Fissidens acacioides var. acacioides"
"speciesLink",,,"2014-03-29T00:10:00",,,"728",,"BM","MO-DUPLICATES",,"PreservedSpecimen",,,,"90139152","312","J.I. Puiggari",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,"Apiahy.",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,,"Fissidens asplenioides",,,,,,,"Plantae",,,,,"Fissidentaceae",,,,"Fissidens",,,,"asplenioides",,,,,,,,,,,,,,"Fissidens asplenioides",,,,,,,"Brazil",,,,,,,,,"Hedw.","Splink",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Puiggari, J.I.","312",,"Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo","apiahy","apiahy",,"locality","brazil_sao paulo_apiahy","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",1650021,"Low","check_local.2state","Fissidens asplenioides","Hedw.","possibly_ok",,"Fissidens asplenioides","Hedw.","species","not found",,,,"Fissidens asplenioides Hedw.","Fissidens","Fabaceae","low","Fissidens asplenioides"
"gbif","6.23367273033431e-315","http://www.tropicos.org/Specimen/90138414","2014-03-29 00:10:00","PhysicalObject",,"http://biocol.org/urn:lsid:biocol.org:col:15859",,"BM","Tropicos","Tropicos","PRESERVED_SPECIMEN",,,"urn:catalog:MO:Tropicos:90138414","90138414","320a","J.I. Puiggari",,,,,"PRESENT",,,,,,,,,,,,,,,,"BR",,,,"Apiahy.",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,"35180718","Fissidens crispus",,,,,,,"Plantae","Bryophyta","Bryopsida","Dicranales",,"Fissidentaceae",,,,"Fissidens","Fissidens",,,"crispus",,,"species",,"ACCEPTED",,"e053ff53-c156-4e2e-b9b5-4462e9625424",,,TRUE,FALSE,"Fissidens crispus","Fissidens crispus Mont.","Fissidens crispus Mont.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"Brazil",,,,,,,,,"Mont.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tropicos","code not found","Puiggari, J.I.","320-A",,"Pursell, R.A.",,,"Puiggari",,"brazil",,"apiahy","apiahy",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",223252,"Low","ok_same_resolution","Fissidens crispus","Mont.","possibly_ok",,"Fissidens crispus","Mont.","species","not found",,,,"Fissidens crispus Mont.","Fissidens","Fabaceae","low","Fissidens crispus"
"speciesLink",,,"2014-03-29T00:10:00",,,"728",,"S","MO-DUPLICATES",,"PreservedSpecimen",,,,"90139318","2323","J.I. Puiggari",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,"Apiahy.",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,,"Fissidens curvatus",,,,,,,"Plantae",,,,,"Fissidentaceae",,,,"Fissidens",,,,"curvatus",,,,,,,,,,,,,,"Fissidens curvatus",,,,,,,"Brazil",,,,,,,,,"Hornsch.","Splink",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Puiggari, J.I.","2323",,"Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo","apiahy","apiahy",,"locality","brazil_sao paulo_apiahy","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",1651769,"Low","check_local.2state","Fissidens curvatus","Hornsch.","possibly_ok",,"Fissidens curvatus","Hornsch.","species","not found",,,,"Fissidens curvatus Hornsch.","Fissidens","Fabaceae","low","Fissidens curvatus"
"speciesLink",,,"2014-03-29T00:10:00",,,"728",,,"MO-DUPLICATES",,"PreservedSpecimen",,,,"90139200","302","J.I. Puiggari",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,"Apiahy.",,,,"-24.51666","-48.83333",,,,,,,,,,,,"R.A. Pursell",,,,,"Fissidens elegans",,,,,,,"Plantae",,,,,"Fissidentaceae",,,,"Fissidens",,,,"elegans",,,,,,,,,,,,,,"Fissidens elegans",,,,,,,"Brazil",,,,,,,,,"Brid.","Splink",,,,,,,,,,,"South America",,,,,,,,,,,,,,,,,,"MO-DUPLICATES","code not found","Puiggari, J.I.","302",,"Pursell, R.A.",,,"Puiggari",,"brazil","sao paulo","apiahy","apiahy",,"locality","brazil_sao paulo_apiahy","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-24.51666,-48.83333,"coord_original","miliseconds",1650181,"Low","check_local.2state","Fissidens elegans","Brid.","possibly_ok",,"Fissidens elegans","Brid.","species","not found",,,,"Fissidens elegans Brid.","Fissidens","Fabaceae","low","Fissidens elegans"
