"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","yearIdentified","monthIdentified","dayIdentified","barcode","infraspecificEpithet","verbatimLatitude","verbatimLongitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentocean","phylum","preparationtype","relationshiptype","relatedcatalogitem","class","order","individualcount","fieldNumber","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","HUFABC","002056","Acanthospermum australe","Plantae","Asteraceae","Acanthospermum","2018","03","05","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Setor A, estrada à esquerda antes da torre de observação",,"UFABC","PreservedSpecimen","Monge, M","634","australe","Keller, VC; Pereira-Silva, E","-46.676675","-23.341711","2024-07-05T09:51:58","(Loefl.) Kuntze","214","2018","05","06","HUFABC002056",,"-23.341711","-46.676675",,,"<nO>Erva</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2018-05-06",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","214","2018","Monge, M.","2018","Pereira-Silva, E.","Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada a esquerda antes da torre de observacao",,"locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Acanthospermum australe","(Loefl.) Kuntze","possibly_ok","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","high","Acanthospermum australe"
"speciesLink","SPSF","29390","Achyrocline satureioides","Plantae","Asteraceae","Achyrocline","2002","02","27","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","12135","IF","PreservedSpecimen","M.Monge","13","satureioides","J.B.Baitello","-46.720001","-23.32","2024-08-06T09:13:02","(Lam.) DC.","1130","2011","01","28","SPSF00029390",,,,,,"<nO>COLETA: XLS: SPSFAntigo&nf;campo e campo cerrado.&nf;Herbácea 20-80cm altura; flores amareladas.;</nO>","América do Sul","Magnoliophyta",,,,"Magnoliopsida","Asterales",,,,"SPLINK","Franco da Rocha","2011-01-28",,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","1130","2002","Monge, M.","2011",,"Baitello",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Achyrocline satureioides","(Lam.) DC.","possibly_ok","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","name accepted","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","high","Achyrocline satureioides"
"speciesLink","MACK","3137","Acisanthera alsinaefolia","Plantae","Melastomataceae","Acisanthera","2016","10","08","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","12135","UPM","PreservedSpecimen","L. O. Andrade","427","alsinaefolia","L. O. Andrade","-46.7200012207031","-23.3199996948242","2020-01-20T14:40:35","(Mart. & Schrank ex DC.) Triana","22","2016",,,,,,,,,,,,,,,,,,,,"SPLINK","Franco da Rocha","2016-NA-NA",,,,,,,,,,,,,,,,,,"MACK",,"Andrade, L.O.","22","2016","Andrade, L.O.","2016",,"Andrade",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Acisanthera alsinaefolia","(Mart. & Schrank ex DC.) Triana","possibly_ok","Melastomataceae","Acisanthera alsinaefolia","(Mart. & Schrank ex DC.) Triana","species","name accepted","bfo-25779",,,"Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana","Acisanthera","Melastomataceae","low","Acisanthera alsinaefolia"
"speciesLink","HUFABC","002121","Acisanthera variabilis","Plantae","Melastomataceae","Acisanthera","2018","06","09","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Início da estrada para a nascente do Cerrado. Barranco a esquerda após passar pela p",,"UFABC","PreservedSpecimen",,"634","variabilis","Keller, VC","-46.691186","-23.335044","2024-07-05T09:52:16","(DC.) Triana","299",,,,"HUFABC002121",,"-23.335044","-46.691186",,,"<nO>Erva, flores roxas/lilás</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha",,,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","299","2018","s.n.","n.d.",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, inicio da estrada para a nascente do cerrado",,"locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Acisanthera variabilis","(DC.) Triana","possibly_ok","Melastomataceae","Acisanthera variabilis","(DC.) Triana","species","name accepted","bfo-19606",,,"Acisanthera variabilis (DC.) Triana","Acisanthera","Melastomataceae","unknown","Acisanthera variabilis"
"speciesLink","MACK","3226","Acritopappus diamantinicus","Plantae","Asteraceae","Acritopappus","2016","08","09","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery",,"UPM","PreservedSpecimen","J. Sicilia","427","diamantinicus","B. Abud","-23.341771","-46.673572","2020-01-20T14:40:09","Bautista, S.Ortiz & Rodr.Oubiña","12","2019","02","21","HMACK00003226-B.Abud12-9/8/2016 ParqueEstadualdoJuquery FrancodaRocha SP Brasil-46 673572-23 341771",,"-46,673572","-23,341771",,,,,,,,,,,,,,"SPLINK","Franco da Rocha","2019-02-21",,,,,,,,,,,,,,,,,,"MACK",,"Abud, B.","12","2016","Sicilia, J.","2019",,"Abud",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Acritopappus diamantinicus","Bautista, S.Ortiz & Rodr.Oubiña","possibly_ok","Asteraceae","Acritopappus diamantinicus","Bautista, S.Ortiz & Rodr.Oubiña","species","name accepted","bfo-128487",,,"Acritopappus diamantinicus Bautista, S.Ortiz & Rodr.Oubiña","Acritopappus","Asteraceae","low","Acritopappus diamantinicus"
"speciesLink","MACK","2950","Adenocalymma pedunculatum","Plantae","Bignoniaceae","Adenocalymma","2015","10","03","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","12135","UPM","PreservedSpecimen","P. C. G. Silva","427","pedunculatum","N. P. Paula","-46.7200012207031","-23.3199996948242","2020-01-20T14:40:22","(Vell.) L.G.Lohmann","66","2018","05","24",,,,,,,,,,,,,,,,,,"SPLINK","Franco da Rocha","2018-05-24",,,,,,,,,,,,,,,,,,"MACK",,"Paula, N.P.","66","2015","Silva, P.C.G.","2018",,"Paula",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Adenocalymma pedunculatum","(Vell.) L.G.Lohmann","possibly_ok","Bignoniaceae","Adenocalymma pedunculatum","(Vell.) L.G.Lohmann","species","name accepted","bfo-112408",,,"Adenocalymma pedunculatum (Vell.) L.G.Lohmann","Adenocalymma","Bignoniaceae","low","Adenocalymma pedunculatum"
"speciesLink","BHCB","216723","Aegiphila integrifolia","Plantae","Lamiaceae","Aegiphila","2022","12","10","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery","12135","UFMG","PreservedSpecimen",,"220","integrifolia","Conegiro, TT; Bruniera, CP; et al.","-46.720001","-23.32","2024-06-18T19:38:17","(Jacq.) Moldenke","15","2023",,,"BHCB216723",,"0","0","0","0","<nO>Arvoreto, 2,5m de altura, DAP: 2,5cm. Frutos imaturos verdes com cálice persistente; Beira da estrada</nO>","Southern America","Dicotyledon",,,,,,,,,"SPLINK","Franco da Rocha","2023-NA-NA",,,,,,,,,,,,,,,,,,"BHCB",,"Conegiro, T.T.","15","2022","s.n.","2023","Bruniera, C.P.","Conegiro",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","name accepted","bfo-23320",,,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","unknown","Aegiphila integrifolia"
"speciesLink","HUFABC","002136","Aegiphila verticillata","Plantae","Lamiaceae","Aegiphila","2018","02","10","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B",,"UFABC","PreservedSpecimen","Antar, G","634","verticillata","Keller, VC","-46.701828","-23.345083","2024-07-05T09:52:13","Vell.","174","2018","09","20","HUFABC002136",,"-23.345083","-46.701828",,,"<nO>Árvore</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2018-09-20",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","174","2018","Antar, G.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Aegiphila verticillata","Vell.","possibly_ok","Lamiaceae","Aegiphila verticillata","Vell.","species","name accepted","bfo-8120",,,"Aegiphila verticillata Vell.","Aegiphila","Lamiaceae","medium","Aegiphila verticillata"
"speciesLink","HUFABC","002210","Ageratum fastigiatum","Plantae","Asteraceae","Ageratum","2018","04","24","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B",,"UFABC","PreservedSpecimen","Monge, M","634","fastigiatum","Keller, VC","-46.701828","-23.345083","2024-07-05T09:51:58","(Gardner) R.M.King & H.Rob.","290","2018","05","06","HUFABC002210",,"-23.345083","-46.701828",,,"<nO>Erva</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2018-05-06",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","290","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Ageratum fastigiatum","(Gardner) R.M.King & H.Rob.","possibly_ok","Asteraceae","Ageratum fastigiatum","(Gardner) R.M.King & H.Rob.","species","name accepted","bfo-15936",,,"Ageratum fastigiatum (Gardner) R.M.King & H.Rob.","Ageratum","Asteraceae","high","Ageratum fastigiatum"
"speciesLink","SPSF","31108","Eupatorium","Plantae","Asteraceae","Eupatorium","2003","02","20","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","12135","IF","PreservedSpecimen",,"13",,"J.B.Baitello & F.S.Peres","-46.720001","-23.32","2024-08-06T09:13:12",,"1461",,,,"SPSF00031108",,,,,,"<nO>COLETA: XLS: SPSFAntigo&nf;campo limpo&nf;Herbácea ereta; flores lilás, ramos avermelhados.;</nO>","América do Sul","Magnoliophyta",,,,"Magnoliopsida","Asterales",,,,"SPLINK","Franco da Rocha",,,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","1461","2003","s.n.","n.d.","Peres, F.S.","Baitello",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Agrimonia","L.","indet","Asteraceae|Rosaceae","Agrimonia","L.","genus","+1 name, but 1 accepted","bfo-116397","Agrimonia","L.","Agrimonia L.","Agrimonia","Asteraceae|Rosaceae","unknown",
"speciesLink","HUFABC","001118","Alchornea sidifolia","Plantae","Euphorbiaceae","Alchornea","2017","11","18","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, A 30 metros da sede do Parque, antes da Trilha do Lago","12135","UFABC","PreservedSpecimen","Santos, MF","634","sidifolia","Maia, IC; Souza, D","-46.720001","-23.32","2024-07-05T09:52:06","Müll. Arg.","30","2023","08","28","HUFABC001118",,"0","0",,,"<nO>Árvore, 6 m alt., inflorescência com botões com tépalas verdes, inodores, folhas com nectário extrafloral.</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2023-08-28",,,,,,,,,,,,,,,,,,"HUFABC",,"Maia, I.C.","30","2017","Santos, M.F.","2023","Souza, D.","Maia",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, a 30 metros da sede do parque",,"locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Alchornea sidifolia","Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea sidifolia","Müll.Arg.","species","author misspelled","bfo-35652",,,"Alchornea sidifolia Müll.Arg.","Alchornea","Euphorbiaceae","low","Alchornea sidifolia"
"speciesLink","SPF","152408","Aldama robusta","Plantae","Asteraceae","Aldama","2002","06","16","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery",,"USP","PreservedSpecimen","Pirani, JR; Magenta, MAG","7","robusta","Groppo, M","-46.8","-23.3","2024-01-30T15:18:53","(Gardner) E.E.Schill. & Panero","1102","2016",,,"SPF00152408",,"-23.3","-46.8","900","900",,,,,,,,,,,,"SPLINK","Franco da Rocha","2016-NA-NA",,,,,,,,,,,,,,,,,,"SPF",,"Groppo, M.","1102","2002","Pirani, J.R.","2016",,"Groppo","Magenta, M.A.G.","brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Aldama robusta","(Gardner) E.E.Schill. & Panero","possibly_ok","Asteraceae","Aldama robusta","(Gardner) E.E.Schill. & Panero","species","name accepted","bfo-126142",,,"Aldama robusta (Gardner) E.E.Schill. & Panero","Aldama","Asteraceae","medium","Aldama robusta"
"speciesLink","SPSF","35721","Alophia","Plantae","Iridaceae","Alophia","2006","01","26","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery",,"IF","PreservedSpecimen",,"13",,"J.B.Baitello","-46.695833","-23.355833","2024-08-06T09:12:37",,"1805",,,,"SPSF00035721",,,,,,"<nO>COLETA: XLS: SPSFNovo; GEOGRAFIA: Campo limpo.;</nO>","América do Sul","Magnoliophyta",,,,"Liliopsida","Liliales",,,,"SPLINK","Franco da Rocha",,,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","1805","2006","s.n.","n.d.",,"Baitello",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Alophia","Herb.","indet","Iridaceae","Alophia","Herb.","genus","name accepted","bfo-8037",,,"Alophia Herb.","Alophia","Iridaceae","unknown",
"speciesLink","SPSF","57117","Amaioua intermedia","Plantae","Rubiaceae","Amaioua","2019","03","19","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery",,"IF","PreservedSpecimen","C.P.Bruniera","13","intermedia","C.P.Bruniera & J.N.Jaimes & L.C.Leal & H.Chinarelli","-46.689722","-23.3375","2024-08-06T09:16:26","Mart. ex Schult. & Schult.f.","1109","2019","03","19","SPSF00057117",,,,"748","748","<nO>COLETA: Arvoreta com aprox. 1,6 m de altura; folhas cartáceas, discolores; frutos verde.; GEOGRAFIA: Floresta Ombrófila Densa. Estrada para o Setor A.;</nO>","América do Sul","Magnoliophyta",,,,"Magnoliopsida","Rubiales",,,,"SPLINK","Franco da Rocha","2019-03-19",,,,,,,,,,,,,,,,,,"SPSF",,"Bruniera, C.P.","1109","2019","Bruniera, C.P.","2019","Jaimes, J.N.; Leal, L.C.; Chinarelli, H.","Bruniera",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Amaioua intermedia","Mart. ex Schult. & Schult.f.","possibly_ok","Rubiaceae","Amaioua intermedia","Mart. ex Schult. & Schult.f.","species","name accepted","bfo-13830",,,"Amaioua intermedia Mart. ex Schult. & Schult.f.","Amaioua","Rubiaceae","low","Amaioua intermedia"
"speciesLink","MACK","3003","Anadenanthera colubrina","Plantae","Fabaceae","Anadenanthera","2016","10","08","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","12135","UPM","PreservedSpecimen","P. C. R. Neres","427","colubrina","E. N. P. Soares","-46.7200012207031","-23.3199996948242","2020-01-20T14:40:30","(Vell.) Brenan","5","2018","06","18",,,,,,,,,,,,,,,,,,"SPLINK","Franco da Rocha","2018-06-18",,,,,,,,,,,,,,,,,,"MACK",,"Soares, E.N.P.","5","2016","Neres, P.C.R.","2018",,"Soares",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Anadenanthera colubrina","(Vell.) Brenan","possibly_ok","Fabaceae","Anadenanthera colubrina","(Vell.) Brenan","species","name accepted","bfo-18071",,,"Anadenanthera colubrina (Vell.) Brenan","Anadenanthera","Fabaceae","low","Anadenanthera colubrina"
"speciesLink","SPSF","34147","Andira fraxinifolia","Plantae","Fabaceae","Andira","2005","03","09","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery",,"IF","PreservedSpecimen","F.A.R.D.P.Arzolla","13","fraxinifolia","F.A.R.D.P.Arzolla & F.E.S.P.Vilela","-46.704167","-23.341667","2024-08-06T09:13:45","Benth.","760","2005","05","16","SPSF00034147",,,,,,"<nO>COLETA: XLS: SPSFNovo; Arvore 1,5m altura, frutos imaturos.; GEOGRAFIA: Vegetação de cerrado.;</nO>","América do Sul","Magnoliophyta",,,,"Magnoliopsida","Fabales",,,,"SPLINK","Franco da Rocha","2005-05-16",,,,,,,,,,,,,,,,,,"SPSF",,"Arzolla, F.A.R.D.P.","760","2005","Arzolla, F.A.R.D.P.","2005","Vilela, F.E.S.P.","Arzolla",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andira fraxinifolia","Benth.","possibly_ok","Fabaceae","Andira fraxinifolia","Benth.","species","name accepted","bfo-29442",,,"Andira fraxinifolia Benth.","Andira","Fabaceae","low","Andira fraxinifolia"
"speciesLink","HUFABC","001924","Andropogon bicornis","Plantae","Poaceae","Andropogon","2017","09","08","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Pista de aviação",,"UFABC","PreservedSpecimen","Rodrigues, R","634","bicornis","Keller, VC; Meirelles, ST","-46.702114","-23.3364","2024-07-05T09:52:23","L.","85","2018","06","28","HUFABC001924",,"-23.3364","-46.702114",,,"<nO>Erva</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2018-06-28",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","85","2017","Rodrigues, R.","2018","Meirelles, S.T.","Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andropogon bicornis","L.","possibly_ok","Poaceae","Andropogon bicornis","L.","species","name accepted","bfo-12957",,,"Andropogon bicornis L.","Andropogon","Poaceae","low","Andropogon bicornis"
"speciesLink","HUFABC","002016","Andropogon leucostachyus","Plantae","Poaceae","Andropogon","2017","10","27","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Pista de aviação",,"UFABC","PreservedSpecimen","Rodrigues, R","634","leucostachyus","Keller, VC","-46.702114","-23.3364","2024-07-05T09:52:23","Kunth","113","2018","06","28","HUFABC002016",,"-23.3364","-46.702114",,,"<nO>Erva</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2018-06-28",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","113","2017","Rodrigues, R.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andropogon leucostachyus","Kunth","possibly_ok","Poaceae","Andropogon leucostachyus","Kunth","species","name accepted","bfo-12966",,,"Andropogon leucostachyus Kunth","Andropogon","Poaceae","low","Andropogon leucostachyus"
"speciesLink","HUFABC","002134","Andropogon macrothrix","Plantae","Poaceae","Andropogon","2018","01","10","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Subida para a cabeceira da pista de aviação",,"UFABC","PreservedSpecimen","Dall Agnol, R.T.","634","macrothrix","Keller, VC","-46.694617","-23.338119","2024-07-05T09:52:23","Trin.","158","2024","05","14","HUFABC002134",,"-23.338119","-46.694617",,,"<nO>Erva</nO>",,,,,,,,,,,"SPLINK","Franco da Rocha","2024-05-14",,,,,,,,,,,,,,,,,,"HUFABC",,"Keller, V.C.","158","2018","Agnol, R.T.D.","2024",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andropogon macrothrix","Trin.","possibly_ok","Poaceae","Andropogon macrothrix","Trin.","species","name accepted","bfo-12968",,,"Andropogon macrothrix Trin.","Andropogon","Poaceae","low","Andropogon macrothrix"
