"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship.x","downloadedFrom","scientificNameAuthorship.y","dayIdentified","latitude","longitude","monthIdentified","yearIdentified","right","modified_incomplete","scientificNameAuthorship","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2023-12-20T16:02:40",,,"7",,"USP","SPF",,"PreservedSpecimen",,,,"31603","14678","Sazima, M",,,,,,,,,,,,"1983","04","21",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata de Santa Genebra, Genebra próximo ao HC.",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Almeida, RF",,"2013-05-NA",,,"Alicia anisopetala",,,,,,,"Plantae",,,,,"Malpighiaceae",,,,"Alicia",,,,"anisopetala",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"05","2013",,,"(A.Juss.) W.R.Anderson",,"SPF00031603",,,,,,,,,,,,,,,,,,,"SPF",,"Sazima, M.","14678","1983","Almeida, R.F.","2013",,"Sazima",,"brazil","sao paulo","campinas","arie mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Alicia anisopetala","(A.Juss.) W.R.Anderson","possibly_ok","Malpighiaceae","Alicia anisopetala","(A.Juss.) W.R.Anderson","species","name accepted","bfo-8798",,,"Alicia anisopetala (A.Juss.) W.R.Anderson","Alicia","Malpighiaceae","high","Alicia anisopetala"
"gbif","2.06112201708839e-314",,"2023-08-01 01:02:14",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/175559787","175559787",,"Fernando Borges",,,,,"PRESENT",,,,,,"2023-07-29T09:54:45","2023","7","29","2023-07-29 09:54:45",,,,,,"BR","São Paulo",,,"Área de Relevante Interesse Ecológico Mata de Santa Genebra","Área de Relevante Interesse Ecológico Mata de Santa Genebra",,,"-22.827816","-47.104925","203",,,,,,,,"391646477",,,"Bruna Tocalino",,"2023-07-30 14:05:38",,"154776","Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Zingiberales",,"Zingiberaceae",,,,"Alpinia","Alpinia",,,"zerumbet",,,"SPECIES",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage;StillImage;StillImage",TRUE,FALSE,"Alpinia zerumbet","Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.","Alpinia zerumbet","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","DD",,"BR",,,,,"EPSG:4326",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Borges, F.",,"2023","Tocalino, B.","2023",,"Borges",,"brazil","sao paulo","area de relevante interesse ecologico mata de santa genebra","area de relevante interesse ecologico mata de santa genebra",,"locality","brazil_sao paulo_area relevante interesse ecologico mata santa genebra","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam","check_local.2state","Alpinia zerumbet","(Pers.) B.L.Burtt & R.M.Sm.","name_w_authors","Zingiberaceae","Alpinia zerumbet","(Pers.) B.L.Burtt & R.M.Sm.","species","name accepted","bfo-110703",,,"Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.","Alpinia","Zingiberaceae","low","Alpinia zerumbet"
"gbif","2.18734606342453e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5808274",,,,,,"CEN","CEN",,"PRESERVED_SPECIMEN",,,"5808274","CEN00120837","2795","Guilherme de M. Antar",,,,,"PRESENT",,,,,,"2019-07-10","2019","7","10","2019-07-10",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/8/37/cen00120837.dzi",,"BR","São Paulo",,"CAMPINAS","Área de relevante interesse ecológico Mata de Santa Genebra. Distrito de Barão Geraldo, bairro Bosque do Barão Geraldo. Trilha Central.",,,,"-22.818611","-47.109167",,,,,,,,,,,,"G. M. Antar",,,,,"Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Bignoniaceae",,,,"Anemopaegma","Anemopaegma",,,"chamberlaynii",,,"SPECIES",,"ACCEPTED",,"9e54731f-ca52-4389-95cb-e4feedc7593e",,,TRUE,FALSE,"Anemopaegma chamberlaynii","Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.","Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/8/37/cen00120837.dzi","Brasil",,,,,,,,,"(Sims) Bureau & K.Schum.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CEN",,"Antar, G.M.","2795","2019","Antar, G.M.",,,"Antar",,"brazil","sao paulo","campinas","area de relevante interesse ecologico mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","name_w_authors","Bignoniaceae","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","species","name accepted","bfo-112506",,,"Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.","Anemopaegma","Bignoniaceae","medium","Anemopaegma chamberlaynii"
"gbif","1.96032020551457e-314",,"2014-04-08","Dataset","228",,,"Instituto de Biologia - UNICAMP","Instituto de Biologia - UNICAMP","SinBIOTA","OCCURRENCE",,,"20576000","20576",,"Ellida de Aguiar Silvestre","1356",,,,"PRESENT",,,,,,"2013-04-30/2013-05-09","2013",,,,"Vegetação secundária","Amostragem populacional. Coleta de material vegetal (folhas) de Balfourodendron riedelianum. Foram amostrados 33 indivíduos.",,,"20447","BR","Sp",,"Campinas","ARIE Mata Santa Genebra","ARIE Mata Santa Genebra",,,"-22.8226965","-47.1115112",,,,,,,,,,,,,,,,"9399520","Balfourodendron riedelianum (Engl.) Engl.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",,"Rutaceae",,,,"Balfourodendron","Balfourodendron",,,"riedelianum",,,"SPECIES",,"ACCEPTED",,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Balfourodendron riedelianum","Balfourodendron riedelianum (Engl.) Engl.","Balfourodendron riedelianum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","EN",,"Brazil",,,,,"EPSG:4291",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instituto de Biologia - UNICAMP","code not found","Silvestre, E.A.",,"2013",,,,"Silvestre",,"brazil","sao paulo","campinas","arie mata santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Balfourodendron riedelianum","(Engl.) Engl.","name_w_authors","Rutaceae","Balfourodendron riedelianum","(Engl.) Engl.","species","name accepted","bfo-343",,,"Balfourodendron riedelianum (Engl.) Engl.","Balfourodendron","Rutaceae","unknown","Balfourodendron riedelianum"
"gbif","2.18734606391859e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5808275",,,,,,"CEN","CEN",,"PRESERVED_SPECIMEN",,,"5808275","CEN00120838","2798","Guilherme de M. Antar",,,,,"PRESENT",,,,,,"2019-07-10","2019","7","10","2019-07-10",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/8/38/cen00120838.dzi",,"BR","São Paulo",,"CAMPINAS","Área de relevante interesse ecológico Mata de Santa Genebra. Distrito de Barão Geraldo, bairro Bosque do Barão Geraldo. Trilha Central.",,,,"-22.818611","-47.109167",,,,,,,,,,,,"G. M. Antar & C. S. Gero",,,,,"Bignonia campanulata Cham.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Bignoniaceae",,,,"Bignonia","Bignonia",,,"campanulata",,,"SPECIES",,"ACCEPTED",,"9e54731f-ca52-4389-95cb-e4feedc7593e",,,TRUE,FALSE,"Bignonia campanulata","Bignonia campanulata Cham.","Bignonia campanulata Cham.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/8/38/cen00120838.dzi","Brasil",,,,,,,,,"Cham.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CEN",,"Antar, G.M.","2798","2019","Antar, G.M.",,,"Antar","Gero, C.S.","brazil","sao paulo","campinas","area de relevante interesse ecologico mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Bignonia campanulata","Cham.","name_w_authors","Bignoniaceae","Bignonia campanulata","Cham.","species","name accepted","bfo-112845",,,"Bignonia campanulata Cham.","Bignonia","Bignoniaceae","medium","Bignonia campanulata"
"speciesLink",,,"2025-04-25T16:38:56",,,"2",,"UNICAMP","UEC",,"S",,,,"212311","2802","Antar, GM; Gerolamo, CS",,,,,,,,,,,,"2019","07","11",,,,,,,,"São Paulo","Campinas","Campinas","Área de Relevante Interesse Ecológico Mata de Santa Genebra. Distrito de Barão Geraldo, bairro Bosque de Barão Geraldo. Aceiro que contorna a mata.",,,,"-22.814736","-47.123058",,,,,,,,,,,,"Colli-Silva, M",,"2019-10-NA",,,"Callianthe fluviatilis",,,,,,,"Plantae","Magnoliopsida",,,,"Malvaceae",,,,"Callianthe",,,,"fluviatilis",,,,,,,,,,,,,,,,,,,,,"Brazil","589","589",,,,,"-22.814736","-47.123058",,"Splink",,,,,"10","2019",,,"(Vell.) Donnell",,"UEC167758",,,,,,,,,,,,,,,,,,,"UEC",,"Antar, G.M.","2802","2019","Colli-Silva, M.","2019","Gerolamo, C.S.","Antar",,"brazil","sao paulo","campinas","area de relevante interesse ecologico mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Callianthe fluviatilis","(Vell.) Donnel","possibly_ok","Malvaceae","Callianthe fluviatilis","(Vell.) Donnel","species","author misspelled","bfo-134823",,,"Callianthe fluviatilis (Vell.) Donnel","Callianthe","Malvaceae","low","Callianthe fluviatilis"
"speciesLink",,,"2023-12-20T15:58:03",,,"7",,"USP","SPF",,"PreservedSpecimen",,,,"103554","578","Bernacci, LC",,,,,,,,,,,,"1994","07","14",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata de Santa Genebra",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Alves, MVS",,"1999-06-NA",,,"Calyptrocarya glomerulata",,,,,,,"Plantae",,,,,"Cyperaceae",,,,"Calyptrocarya",,,,"glomerulata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"06","1999",,,"(Brongn.) Urb.",,"SPF00103554",,,,,,,,,,,,,,,,,,,"SPF",,"Bernacci, L.C.","578","1994","Alves, M.V.S.","1999",,"Bernacci",,"brazil","sao paulo","campinas","arie mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Calyptrocarya glomerulata","(Brongn.) Urb.","possibly_ok","Cyperaceae","Calyptrocarya glomerulata","(Brongn.) Urb.","species","name accepted","bfo-7160",,,"Calyptrocarya glomerulata (Brongn.) Urb.","Calyptrocarya","Cyperaceae","low","Calyptrocarya glomerulata"
"gbif","1.9603181902208e-314",,"2014-04-08","Dataset",,,,,,"SinBIOTA","OCCURRENCE",,,"20569000","20569",,"Marcos Vinicius Bohrer Monteiro Siqueira","1351",,,,"PRESENT",,,,,,,,,,,"Vegetação secundária","Amostragem populacional. Coleta de material vegetal (folhas) de Casearia sylvestris. Foram amostrados 25 indivíduos (folhas)",,,"20440","BR","Sp",,"Campinas","ARIE Mata Santa Genebra","ARIE Mata Santa Genebra",,,"-22.8226965","-47.1115112",,,,,,,,,,,,,,,,"7049989","Casearia sylvestris Sw.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales",,"Salicaceae",,,,"Casearia","Casearia",,,"sylvestris",,,"SPECIES",,"ACCEPTED",,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Casearia sylvestris","Casearia sylvestris Sw.","Casearia sylvestris","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"Brazil",,,,,"EPSG:4291",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"code not found","Siqueira, M.V.B.M.",,,,,,"Siqueira",,"brazil","sao paulo","campinas","arie mata santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Casearia sylvestris","Sw.","name_w_authors","Salicaceae","Casearia sylvestris","Sw.","species","name accepted","bfo-14384",,,"Casearia sylvestris Sw.","Casearia","Salicaceae","unknown","Casearia sylvestris"
"gbif","1.96031968427532e-314",,"2014-04-08","Dataset",,,,,,"SinBIOTA","OCCURRENCE",,,"20571000","20571",,"Patricia Sanae Sujii","1353",,,,"PRESENT",,,,,,,,,,,"Vegetação secundária","Amostragem populacional. Coleta de material vegetal (folhas) de Centrolobium tomentosum. Foram amostrados 58 individuos.",,,"20442","BR","Sp",,"Campinas","ARIE Mata Santa Genebra","ARIE Mata Santa Genebra",,,"-22.8226965","-47.1115112",,,,,,,,,,,,,,,,"574130","Centrolobium tomentosum Guill. ex Benth.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Centrolobium","Centrolobium",,,"tomentosum",,,"SPECIES",,"ACCEPTED",,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Centrolobium tomentosum","Centrolobium tomentosum Guill. ex Benth.","Centrolobium tomentosum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brazil",,,,,"EPSG:4291",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"code not found","Sujii, P.S.",,,,,,"Sujii",,"brazil","sao paulo","campinas","arie mata santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Centrolobium tomentosum","Guillem. ex Benth.","name_w_authors","Fabaceae","Centrolobium tomentosum","Guillem. ex Benth.","species","author misspelled","bfo-29512",,,"Centrolobium tomentosum Guillem. ex Benth.","Centrolobium","Fabaceae","unknown","Centrolobium tomentosum"
"gbif","2.4473773686101e-314",,"2024-11-25 11:35:36",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/211095","211095","01","Sanches, FD; Galvão, JC",,,,,"PRESENT",,,,,,"2023-06-12","2023","6","12",,,,,,,"BR","São Paulo",,"Campinas","Campinas-SP: Área de Relevante Interesse Ecológico Mata de Santa Genebra.",,,,"-23.372842","-47.179303",,,,,,,,,,,,"Koch, I",,"2023-08-21",,,"Cestrum mariquitense Kunth",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,"Cestrum","Cestrum",,,"mariquitense",,,"SPECIES",,"ACCEPTED",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,"Cestrum mariquitense","Cestrum mariquitense Kunth","Cestrum mariquitense","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/UEC174182","Brazil","670","670",,,"WGS84",,,,"Kunth","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Sanches, F.D.","01","2023","Koch, I.","2023","Galvao, J.C.","Sanches",,"brazil","sao paulo","campinas","campinas-sp",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Cestrum mariquitense","Kunth","name_w_authors","Solanaceae","Cestrum mariquitense","Kunth","species","name accepted","bfo-14646",,,"Cestrum mariquitense Kunth","Cestrum","Solanaceae","low","Cestrum mariquitense"
"speciesLink",,,"2023-12-20T16:06:20",,,"7",,"USP","SPF",,"PreservedSpecimen",,,,"115194","2165","Bernacci, LC",,,,,,,,,,,,"1995","10","03",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata de Santa Genebra",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Clark, LG",,"2005-07-NA",,,"Chusquea ramosissima",,,,,,,"Plantae",,,,,"Poaceae",,,,"Chusquea",,,,"ramosissima",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"07","2005",,,"Lindm.",,"SPF00115194",,,,,,,,,,,,,,,,,,,"SPF",,"Bernacci, L.C.","2165","1995","Clark, L.G.","2005",,"Bernacci",,"brazil","sao paulo","campinas","arie mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Chusquea ramosissima","Lindm.","possibly_ok","Poaceae","Chusquea ramosissima","Lindm.","species","name accepted","bfo-13113",,,"Chusquea ramosissima Lindm.","Chusquea","Poaceae","high","Chusquea ramosissima"
"speciesLink",,,"2023-12-20T15:53:34",,,"7",,"USP","SPF",,"PreservedSpecimen",,,,"110269","575","Bernacci, LC",,,,,,,,,,,,"1994","07","14",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata de Santa Genebra",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Hirao, YV",,"2012-05-10",,,"Dicliptera squarrosa",,,,,,,"Plantae",,,,,"Acanthaceae",,,,"Dicliptera",,,,"squarrosa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,"10",,,"05","2012",,,"Nees",,"SPF00110269",,,,,,,,,,,,,,,,,,,"SPF",,"Bernacci, L.C.","575","1994","Hirao, Y.V.","2012",,"Bernacci",,"brazil","sao paulo","campinas","arie mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Dicliptera squarrosa","Nees","possibly_ok","Acanthaceae","Dicliptera squarrosa","Nees","species","name accepted","bfo-4122",,,"Dicliptera squarrosa Nees","Dicliptera","Acanthaceae","low","Dicliptera squarrosa"
"speciesLink",,,"2024-06-28T10:53:44",,,"7",,"USP","SPF",,"PreservedSpecimen",,,,"145441","s.n.","Gandolfi, S",,,,,,,,,,,,"1995","06","12",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata de Santa Genebra",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Fiaschi, P",,"2023-12-NA",,,"Didymopanax calvus",,,,,,,"Plantae",,,,,"Araliaceae",,,,"Didymopanax",,,,"calvus",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"12","2023",,,"(Cham.) Decne. & Planch.",,"SPF00145441",,,,,,,,,,,,,,,,,,,"SPF",,"Gandolfi, S.",,"1995","Fiaschi, P.","2023",,"Gandolfi",,"brazil","sao paulo","campinas","arie mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Didymopanax calvus","(Cham.) Decne. & Planch.","possibly_ok","Araliaceae","Didymopanax calvus","(Cham.) Decne. & Planch.","species","name accepted","bfo-606945",,,"Didymopanax calvus (Cham.) Decne. & Planch.","Didymopanax","Araliaceae","high","Didymopanax calvus"
"gbif","1.85922253804478e-314",,"2024-09-04 20:16:57",,"04.936.616/0001-20",,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN",,,"urn:catalog:JBRJ:RB:1459732","RB01459732","2820","G.M. Antar; C.S. Gerolamo",,,,,"PRESENT",,,,,,"2019-07-12","2019","7","12",,,,"Aceiro que contorna a mata. Ecótono dos domínios da Mata Atlântica e do Cerrado. Floresta estacional semidecidual. Solo argiloso seco.",,,"BR","São Paulo",,"Campinas","Área de Relevante Interesse Ecológico Mata de Santa Genebra. Distrito de barão Geraldo, bairro Bosque de Barão Geraldo.",,,,"-22.833333","-47.105",,,,,,,,,,,,"J.R. Pirani",,,,,"Galipea jasminiflora (A.St.-Hil.) Engl.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",,"Rutaceae",,,,"Galipea","Galipea",,,"jasminiflora",,,"SPECIES",,"ACCEPTED",,"4300f8d5-1ae5-49e5-a101-63894b005868",,"StillImage",TRUE,FALSE,"Galipea jasminiflora","Galipea jasminiflora (A.St.-Hil.) Engl.","Galipea jasminiflora (A.St.-Hil.) Engl.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/97/32/01459732.jpg","Brasil",,,,,,,"22º50´0´´","47º6´18´´W","(A.St.-Hil.) Engl.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RB",,"Antar, G.M.","2820","2019","Pirani, J.R.",,"Gerolamo, C.S.","Antar",,"brazil","sao paulo","campinas","area de relevante interesse ecologico mata de santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Galipea jasminiflora","(A.St.-Hil.) Engl.","name_w_authors","Rutaceae","Galipea jasminiflora","(A.St.-Hil.) Engl.","species","name accepted","bfo-746",,,"Galipea jasminiflora (A.St.-Hil.) Engl.","Galipea","Rutaceae","high","Galipea jasminiflora"
"speciesLink",,,"2024-11-25T11:12:16",,,"2",,"UNICAMP","UEC",,"S",,,,"212056","3","Freitas, VF",,,,,,,,,,,,"2020","01","15",,,,,,,,"São Paulo","Campinas","Campinas","ARIE Mata Santa Genebra",,,,"-22.9","-47.060001",,"23900",,,,,,,,,,"Freitas, VF",,"2020-01-15",,,,,,,,,,"Plantae","Magnoliopsida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brazil",,,,,,,"0","0",,"Splink",,"15",,,"01","2020",,,,,"UEC198985",,,,,,,,,,,,,,,,,,,"UEC",,"Freitas, V.F.","3","2020","Freitas, V.F.","2020",,"Freitas",,"brazil","sao paulo","campinas","arie mata santa genebra",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","check_local.2municip.","Indet. sp.",,"indet",,"Indet. sp.",,"species","not found",,,,"Indet. sp.","Indet.",,"low","Indet. sp."
