"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","preparationtype","individualcount","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","recordNumber","occurrenceRemarks","year","month","day","specificEpithet","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLatitude","verbatimLongitude","country","dayIdentified","continentocean","phylum","class","order","infraspecificEpithet","coordinatePrecision","typeStatus","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user",,"RB","RB00141159","Aechmea coelestis (K.Koch) É.Morren","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","G. Martinelli & C. M. Vieira",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15845",,"1999","10","6","coelestis","(K.Koch) É.Morren","10",,"24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2002-11-1",,,"BR",,,"1999-10-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15845","1999","Martinelli, G.","2002","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli","Vieira, C.M.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/59/00141159.jpg",,,,,,,,,,,,,,,,,,,"2017-10-17 17:44:18+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Aechmea coelestis","(K.Koch) É.Morren","name_w_authors","Bromeliaceae","Aechmea coelestis","(K.Koch) É.Morren","species","name accepted","bfo-5787",,,"Aechmea coelestis (K.Koch) É.Morren","Aechmea","Bromeliaceae","high","Aechmea coelestis"
"user",,"RB","RB00141167","Aechmea cylindrata Lindm.","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","R.Romanini",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.9155556","-24.8263889",,"15853",,"1999","10","6","cylindrata","Lindm.","1050",,"24º37´755´´","47º45´596´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2018-6-7",,,"BR",,,"1999-10-06","Mata Atlântica, planície periodicamente inundada",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15853","1999","Romanini, R.","2018","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/67/00141167.jpg",,,,,,,,,,,,,,,,,,,"2018-06-13 10:44:26+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Aechmea cylindrata","Lindm.","name_w_authors","Bromeliaceae","Aechmea cylindrata","Lindm.","species","name accepted","bfo-5793",,,"Aechmea cylindrata Lindm.","Aechmea","Bromeliaceae","low","Aechmea cylindrata"
"speciesLink","SP050230","SP","351239","Aechmea distichantha","Plantae","Bromeliaceae","Aechmea","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açu.","IBt","PreservedSpecimen",,,,,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:28","15852",,"1999","10","06","distichantha","Lem.","10","50","-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu",,,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15852","1999","s.n.","n.d.",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aechmea distichantha","Lem.","possibly_ok","Bromeliaceae","Aechmea distichantha","Lem.","species","name accepted","bfo-5799",,,"Aechmea distichantha Lem.","Aechmea","Bromeliaceae","high","Aechmea distichantha"
"speciesLink",,"SP","351702","Aechmea gracilis","Plantae","Bromeliaceae","Aechmea","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao rio Pariquera-Açú.","IBt","PreservedSpecimen","Wanderley, MGL; Martins, SE","2007","10",,,"1","Martinelli, G; Wanderley, MGL; Barbará, T; Sousa, GM; Azoury, R","-47.766556","-24.637639","2021-12-09T11:02:29","15845",,"1999","10","06","gracilis","Lindm.",,,"-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu","2007-10-NA",,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15845","1999","Wanderley, M.G.L.","2007","Wanderley, M.G.L.; Barbara, T.; Sousa, G.M.; Azoury, R.","Martinelli","Martins, S.E.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aechmea gracilis","Lindm.","possibly_ok","Bromeliaceae","Aechmea gracilis","Lindm.","species","name accepted","bfo-5814",,,"Aechmea gracilis Lindm.","Aechmea","Bromeliaceae","high","Aechmea gracilis"
"user",,"RB","RB00141172","Aechmea nudicaulis (L.) Griseb.","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","G. Martinelli",,,,,,"Martinelli, G.; M. G. L. Wanderley, T. Barbará, G. M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15858",,"1999","10","6","nudicaulis","(L.) Griseb.","10","50","24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu",,,,"BR",,,"1999-10-06","Planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15858","1999","Martinelli, G.","n.d.","G.l.wanderley, T.B.S.A.M.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/72/00141172.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/72/00141172-1.jpg",,,,,,,,,,,,,,,,,,,"2017-10-17 17:19:30+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Aechmea nudicaulis","(L.) Griseb.","name_w_authors","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","high","Aechmea nudicaulis"
"user",,"RB","RB00141161","Aechmea pectinata Baker","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","M. G. Wanderley & G. M. Souza",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15847",,"1999","10","6","pectinata","Baker","10",,"24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","1999-12",,,"BR",,,"1999-10-06","Planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15847","1999","Wanderley, M.G.","1999","G.l.wanderley, T.B.S.A.M.","Martinelli","Souza, G.M.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161-2.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161.jpg",,,,,,,,,,,,,,,,,,,"2017-10-13 14:53:19+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Aechmea pectinata","Baker","name_w_authors","Bromeliaceae","Aechmea pectinata","Baker","species","name accepted","bfo-5853",,,"Aechmea pectinata Baker","Aechmea","Bromeliaceae","low","Aechmea pectinata"
"user",,"RB","RB00515020","Anthurium aff. itanhaense Engl.","Plantae","Araceae","Anthurium","São Paulo",,"Parque Estadual Campina do Encantado.","JBRJ","Preserved Specimen","M. Nadruz",,,,,,"G. Martinelli; M. G. Wanderley; T. Barbará; G. M. Souza; R. Azoury","-47.7663889","-24.6375",,"15860",,"1999","10","6","itanhaense","Engl.","10","50","24º37´75´´","47º45´59´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2011-4-20",,,"BR",,,"1999-10-06","Mata Atlântica de Planície, periodicamente inundada, próximo ao Rio Pariquera-Açú",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15860","1999","Nadruz, M.","2011","Wanderley, M.G.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:515020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/51/50/20/00515020.jpg",,,,,,,,,,,,,,,,,,,"2017-10-15 15:33:53+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Anthurium itanhaense","Engl.","affinis|name_w_authors","Araceae","Anthurium itanhaense","Engl.","species","name accepted","bfo-4939",,,"Anthurium itanhaense Engl.","Anthurium","Araceae","high","Anthurium itanhaense"
"gbif",,"HUSC","15812","Brillantaisia lamium (Nees) Benth.","Plantae","Acanthaceae","Brillantaisia","São Paulo",,"Área Industrial, Parque Estadual Campina do Encantado - núcleo Pariquera-Açú, Solo - Gleissolos, Textura - Indiscriminada, Relevo - Plano","UNISANTA","PRESERVED_SPECIMEN","M.A.M. Galvão; L.F.Vilaça",,,,,"https://specieslink.net/col/437","L.F. Vilaça","-47.893983","-24.701697","2024-10-30 16:00:59","36",,"2024","2","29","lamium","(Nees) Benth.",,,,,"Brasil",,,"Tracheophyta","Magnoliopsida","Lamiales",,,,,"GBIF","Pariquera-Açú","2024-02-01","Brillantaisia lamium (Nees) Benth.",,"BR",,,"2024-02-29",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado - nucleo pariquera-acu",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county","5000823552",,,,"https://specieslink.net/guid/437/15812",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brillantaisia",,,,,,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,"Brillantaisia lamium","Brillantaisia lamium","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Brillantaisia lamium","(Nees) Benth.","name_w_authors","Acanthaceae","Brillantaisia lamium","(Nees) Benth.","species","name accepted","bfo-605025",,,"Brillantaisia lamium (Nees) Benth.","Brillantaisia","Acanthaceae","unknown","Brillantaisia lamium"
"user",,"RB","RB00758918","Byrsonima ligustrifolia A.Juss.","Plantae","Malpighiaceae","Byrsonima","São Paulo",,"Parque Estadual da Campina do Encantado. Floresta ombrofila densa. Floresta de Turfeira ( Floresta Paludosa de Restinga).","JBRJ","Preserved Specimen",,,,,,,"M. Sztutman; Walmir",,,,"296",,"1999","3","24","ligustrifolia","A.Juss.",,,,,"Brasil",,,,,,,,,,,"Pariquera-Açu",,,,"BR",,,"1999-03-24",,,,,,,"sp.","Physical Object",,,,"RB",,"Sztutman, M.","296","1999","s.n.","n.d.","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:758918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/75/89/18/00758918.jpg",,,,,,,,,,,,,,,,,,,"2014-07-08 00:56:48+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Byrsonima ligustrifolia","A.Juss.","name_w_authors","Malpighiaceae","Byrsonima ligustrifolia","A.Juss.","species","name accepted","bfo-8838",,,"Byrsonima ligustrifolia A.Juss.","Byrsonima","Malpighiaceae","unknown","Byrsonima ligustrifolia"
"speciesLink","SP051398","SP","351207","Canistropsis billbergioides","Plantae","Bromeliaceae","Canistropsis","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açú.","IBt","PreservedSpecimen","Moreira, BA","2018","08",,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:35","15850",,"1999","10","06","billbergioides","(Schult. & Schult.f.) Leme","10","50","-24.637639","-47.766556","Brasil","08",,,,,,,,,"SPLINK","Pariquera-Açu","2018-08-08",,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15850","1999","Moreira, B.A.","2018",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Canistropsis billbergioides","(Schult. & Schult.f.) Leme","possibly_ok","Bromeliaceae","Canistropsis billbergioides","(Schult. & Schult.f.) Leme","species","name accepted","bfo-5964",,,"Canistropsis billbergioides (Schult. & Schult.f.) Leme","Canistropsis","Bromeliaceae","high","Canistropsis billbergioides"
"speciesLink","SP051492","SP","351209","Catopsis sessiliflora","Plantae","Bromeliaceae","Catopsis","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açú.","IBt","PreservedSpecimen","Wanderley, MGL","2007","07",,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:35","15857",,"1999","10","06","sessiliflora","(Ruiz & Pav.) Mez","10","50","-24.637639","-47.766556","Brasil","31",,,,,,,,,"SPLINK","Pariquera-Açu","2007-07-31",,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15857","1999","Wanderley, M.G.L.","2007",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Catopsis sessiliflora","(Ruiz & Pav.) Mez","possibly_ok","Bromeliaceae","Catopsis sessiliflora","(Ruiz & Pav.) Mez","species","name accepted","bfo-5990",,,"Catopsis sessiliflora (Ruiz & Pav.) Mez","Catopsis","Bromeliaceae","high","Catopsis sessiliflora"
"user",,"RB","RB01183353","Cranichis candida (Barb.Rodr.) Cogn.","Plantae","Orchidaceae","Cranichis","São Paulo",,"Parque estadual da Campina do Encantado","JBRJ","Preserved Specimen","Fraga",,,,,,"M. Sztutman; Walmir",,,,"307",,"1999","5","25","candida","(Barb.Rodr.) Cogn.",,,,,"Brasil",,,,,,,,,,,"Pariquera-Açu","2016-8-25",,,"BR",,,"1999-05-25","Floresta Baixa de Turfeira - Campina do Encantado",,,,,,"sp.","Physical Object",,,,"RB",,"Sztutman, M.","307","1999","Fraga","2016","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:1183353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/18/33/53/01183353.jpg",,,,,,,,,,,,,,,,,,,"2016-10-04 10:02:25+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Cranichis candida","(Barb.Rodr.) Cogn.","name_w_authors","Orchidaceae","Cranichis candida","(Barb.Rodr.) Cogn.","species","name accepted","bfo-11406",,,"Cranichis candida (Barb.Rodr.) Cogn.","Cranichis","Orchidaceae","low","Cranichis candida"
"gbif",,"UFRN","UFRN00014397","Dioscorea laxiflora Mart. ex Griseb.","Plantae","Dioscoreaceae","Dioscorea","São Paulo",,"Parque Estadual da Campina do Encantado.","UFRN","PRESERVED_SPECIMEN","Sgtutmon, M.",,,,,,"Sztutman, M.;Walmir",,,,"325",,"1999","7","19","laxiflora","Mart. ex Griseb.","-9999","0",,,"Brasil",,,"Tracheophyta","Liliopsida","Dioscoreales",,,,,"GBIF","Pariquera-Açu",,"Dioscorea laxiflora Mart. ex Griseb.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2511270","BR",,,"1999-07-19",,,,,,"ACCEPTED","SPECIES","PhysicalObject",,"1999-7-19",,,,,,,,,,,,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county","2302371933",,,,"2511270",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dioscorea",,,,,,"15e887a4-973c-4b84-b421-ca65584a4c75",,,FALSE,FALSE,"Dioscorea laxiflora","Dioscorea laxiflora Mart. ex Griseb.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/43/97/ufrn00014397.dzi",,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Dioscorea laxiflora","Mart. ex Griseb.","name_w_authors","Dioscoreaceae","Dioscorea laxiflora","Mart. ex Griseb.","species","name accepted","bfo-7391",,,"Dioscorea laxiflora Mart. ex Griseb.","Dioscorea","Dioscoreaceae","unknown","Dioscorea laxiflora"
"speciesLink","RFA30292","RFA","39873","Dioscorea monadelpha","Plantae","Dioscoreaceae","Dioscorea","São Paulo","Pariquera-Açu","Parque Estadual da Campina do Encantado.","UFRJ","PreservedSpecimen","R.S. Couto","2011","3",,,"609","M. Sztutman; Walmir","-47.880001","-24.709999","2025-06-01T12:03:16","325","<nO>Flores femininas verdes, masculinas com filetes vinho e anteras laranjas Habitat: Floresta Habito: Liana</nO>","1999","07","19","monadelpha","(Kunth) Griseb.",,,,,"Brasil","25",,,,,,"17990",,,"SPLINK","Pariquera-Açu","2011-3-25",,,,,,,,,,,,,,,,,,"RFA",,"Sztutman, M.","325","1999","Couto, R.S.","2011","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dioscorea monadelpha","(Kunth) Griseb.","possibly_ok","Dioscoreaceae","Dioscorea monadelpha","(Kunth) Griseb.","species","name accepted","bfo-7398",,,"Dioscorea monadelpha (Kunth) Griseb.","Dioscorea","Dioscoreaceae","high","Dioscorea monadelpha"
"user",,"RB","RB00141169","Edmundoa lindenii var. rosea (E. Morren) Leme","Plantae","Bromeliaceae","Edmundoa","São Paulo",,"Próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","C. M. Vieira",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.9155556","-24.8263889",,"15855",,"1999","10","6","rosea","(E. Morren) Leme","10","50","24º37´755´´","47º45´596´´W","Brasil",,,,,,"rosea",,,,,"Pariquera-Açu","2002-7",,,"BR",,,"1999-10-06","Planície periodicamente inundada.",,,,,,"var.","Physical Object",,,,"RB",,"Martinelli, G.","15855","1999","Vieira, C.M.","2002","G.l.wanderley, T.B.S.A.M.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/69/00141169-2.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/69/00141169-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/69/00141169.jpg",,,,,,,,,,,,,,,,,,,"2017-10-15 15:08:13+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Edmundoa lindenii","(Regel) Leme","variety|name_w_authors","Bromeliaceae","Edmundoa lindenii","(Regel) Leme","species","author misspelled|replaced synonym","bfo-6084","Edmundoa lindenii","(Regel) Leme","Edmundoa lindenii (Regel) Leme","Edmundoa","Bromeliaceae","low","Edmundoa lindenii"
"user",,"RB","RB01228827","Epidendrum rigidum Jacq.","Plantae","Orchidaceae","Epidendrum","São Paulo",,"Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","E. Pessoa",,,,,,"M. Sztutman; Walmir",,,,"299",,"1999","3","24","rigidum","Jacq.",,,,,"Brasil",,,,,,,,,,,"Pariquera-Açu","2018-6-28",,,"BR",,,"1999-03-24","Floresta de Turfeira (Floresta paludosa de restinga)",,,,,,"sp.","Physical Object",,,,"RB",,"Sztutman, M.","299","1999","Pessoa, E.","2018","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:1228827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/88/27/01228827.jpg",,,,,,,,,,,,,,,,,,,"2018-08-30 14:36:19+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Epidendrum rigidum","Jacq.","name_w_authors","Orchidaceae","Epidendrum rigidum","Jacq.","species","name accepted","bfo-11568",,,"Epidendrum rigidum Jacq.","Epidendrum","Orchidaceae","high","Epidendrum rigidum"
